Nama_KK,NIK,Domisili,Tanggal_Lahir,Pekerjaan,Pendapatan,Jumlah_Anggota_Keluarga,Jumlah_Ibu_Hamil,Jumlah_Balita,Jumlah_Lansia,Jumlah_Anak_Putus_Sekolah,Jumlah_Anggota_Disabilitas,Pendapatan_Numerik,Umur,KSE,KSE_Score,KSE_Details
Fitria Suwarno,320001941615529000,Bandung,18/07/1994,Buruh,Rp 500.000,5,0,0,2,2,0,500000,30,"P1,P4,P6",3,"Score: 3/6 - P1,P4,P6"
Kamila Prasetya,320022099756722000,Depok,10/11/1975,Petani,Rp 500.000,4,1,1,0,0,2,500000,49,"P1,P5",2,"Score: 2/6 - P1,P5"
Rlatika Widiastuti,320029523417350000,Semarang,28/04/1957,Buruh,Rp 1.000.000,3,0,2,1,0,0,1000000,68,"P1,P2,P3",3,"Score: 3/6 - P1,P2,P3"
Sabri Ramawati,320090131222138000,Manokwari,15/02/1993,Buruh,Rp 1.500.000,4,0,0,1,0,2,1500000,32,"P1,P5",2,"Score: 2/6 - P1,P5"
Lanang Kusumo,320054244519285000,Balikpapan,23/05/1961,Petani,Rp 1.500.000,5,0,1,2,2,0,1500000,64,"P1,P4,P6",3,"Score: 3/6 - P1,P4,P6"
Zamira Rajata,320028864619255000,Banjarmasin,06/12/1965,Tidak Bekerja,Rp 0,5,1,0,0,2,1,0,59,"P1,P5,P6",3,"Score: 3/6 - P1,P5,P6"
Vino Pangestu,320058935744799000,Pekanbaru,01/03/1991,Tidak Bekerja,Rp 0,3,1,0,0,2,0,0,34,"P1,P2,P6",3,"Score: 3/6 - P1,P2,P6"
Martani Farida,320026658648285000,Bengkulu,27/03/1962,Tidak Bekerja,Rp 0,7,1,3,0,0,2,0,63,"P1,P3,P5",3,"Score: 3/6 - P1,P3,P5"
Rudi Laksita,320044153485704000,Makassar,23/04/1989,Wiraswasta,Rp 1.500.000,4,0,1,0,1,1,1500000,36,"P1,P5,P6",3,"Score: 3/6 - P1,P5,P6"
Vicky Simanjuntak,320041407404848000,Sorong,06/05/1961,Buruh,Rp 500.000,4,0,0,0,1,2,500000,64,"P1,P5,P6",3,"Score: 3/6 - P1,P5,P6"
Oliva Anggriawan,320075479734574000,Depok,09/08/1960,Wiraswasta,Rp 1.500.000,6,1,1,0,2,1,1500000,64,"P1,P5,P6",3,"Score: 3/6 - P1,P5,P6"
Bagiya Novitasari,320078930615272000,Pontianak,30/07/1975,Tidak Bekerja,Rp 0,6,1,3,2,0,0,0,49,"P1,P3,P4",3,"Score: 3/6 - P1,P3,P4"
Julia Manullang,320042576891809000,Medan,28/06/1975,Tidak Bekerja,Rp 0,6,1,0,2,0,2,0,50,"P1,P4,P5",3,"Score: 3/6 - P1,P4,P5"
Legawa Nasyida,320079064791514000,Kendari,12/10/1983,Karyawan,Rp 1.000.000,3,0,0,1,0,2,1000000,41,"P1,P2,P5",3,"Score: 3/6 - P1,P2,P5"
Aditya Mustofa,320098307948501000,Depok,19/12/1974,Karyawan,Rp 2.000.000,4,1,0,2,1,0,2000000,50,"P1,P4,P6",3,"Score: 3/6 - P1,P4,P6"
Ikin Saptono,320083365575031000,Pekanbaru,26/07/1974,Karyawan,Rp 2.000.000,6,0,3,0,0,2,2000000,50,"P1,P3,P5",3,"Score: 3/6 - P1,P3,P5"
Gading Fujiati,320045584128988000,Jambi,18/05/1994,Buruh,Rp 1.500.000,7,1,1,1,2,2,1500000,31,"P1,P5,P6",3,"Score: 3/6 - P1,P5,P6"
Zara Akim,320014706389760000,Samarinda,12/02/1964,Karyawan,Rp 1.500.000,5,1,1,2,1,0,1500000,61,"P1,P4,P6",3,"Score: 3/6 - P1,P4,P6"
Laras Akim,320060859991178000,Padang,06/06/1998,Tidak Bekerja,Rp 0,5,0,3,0,1,0,0,27,"P1,P3,P6",3,"Score: 3/6 - P1,P3,P6"
Sakura Yuliarti,320044896163013000,Bengkulu,13/04/1970,Tidak Bekerja,Rp 0,4,0,0,1,2,1,0,55,"P1,P5,P6",3,"Score: 3/6 - P1,P5,P6"
Wira Prakasa,320006677789361000,Merauke,09/10/1991,Buruh,Rp 500.000,6,1,0,1,2,1,500000,33,"P1,P5,P6",3,"Score: 3/6 - P1,P5,P6"
Olivia Marbun,320013415911875000,Medan,06/12/1990,Tidak Bekerja,Rp 0,5,1,0,1,2,1,0,34,"P1,P5,P6",3,"Score: 3/6 - P1,P5,P6"
Lamar Dongoran,320079338007984000,Bogor,30/11/1958,Petani,Rp 2.000.000,6,1,3,0,0,1,2000000,66,"P1,P3,P5",3,"Score: 3/6 - P1,P3,P5"
Amelia Andriani,320033618857197000,Palangka Raya,13/09/1964,Wiraswasta,Rp 1.000.000,6,1,2,0,0,2,1000000,60,"P1,P3,P5",3,"Score: 3/6 - P1,P3,P5"
Mulya Agustina,320051056018390000,Merauke,16/03/1978,Buruh,Rp 1.500.000,5,1,0,0,2,2,1500000,47,"P1,P5,P6",3,"Score: 3/6 - P1,P5,P6"
Puti Sadina Budiyanto,320094937434646000,Padang,23/05/1976,Buruh,Rp 1.000.000,5,1,1,1,2,0,1000000,49,"P1,P6",2,"Score: 2/6 - P1,P6"
Tina Firmansya,320044176569017000,Semarang,18/06/1957,Petani,Rp 2.000.000,6,1,3,0,1,0,2000000,68,"P1,P3,P6",3,"Score: 3/6 - P1,P3,P6"
Cut Amalia Pangestu,320000313001879000,Sorong,12/04/2000,Wiraswasta,Rp 1.200.000,6,1,2,1,0,2,1200000,25,"P1,P3,P5",3,"Score: 3/6 - P1,P3,P5"
Padmi Purnawati,320044291975929000,Semarang,10/11/1963,Tidak Bekerja,Rp 0,5,1,1,0,2,0,0,61,"P1,P6",2,"Score: 2/6 - P1,P6"
Puti Ella Pratiwi,320024104672139000,Palangka Raya,30/05/1960,Karyawan,Rp 1.200.000,4,1,0,1,1,1,1200000,65,"P1,P5,P6",3,"Score: 3/6 - P1,P5,P6"
Yance Zulaika,320059482067099000,Jayapura,05/06/1984,Tidak Bekerja,Rp 0,2,0,1,0,0,1,0,41,"P1,P2,P5",3,"Score: 3/6 - P1,P2,P5"
Elu Lestari,320038150946212000,Yogyakarta,13/09/1978,Karyawan,Rp 2.000.000,6,1,0,2,2,0,2000000,46,"P1,P4,P6",3,"Score: 3/6 - P1,P4,P6"
Jasmani Sitompul,320006520662995000,Gorontalo,17/11/1974,Tidak Bekerja,Rp 0,5,0,3,2,0,0,0,50,"P1,P3,P4",3,"Score: 3/6 - P1,P3,P4"
Marwata Waluyo,320007577408220000,Manokwari,16/12/1969,Petani,Rp 500.000,4,0,2,1,0,0,500000,55,"P1,P3",2,"Score: 2/6 - P1,P3"
Esti Simbolon,320068568277692000,Bekasi,19/12/1983,Karyawan,Rp 1.000.000,4,1,1,0,0,1,1000000,41,"P1,P5",2,"Score: 2/6 - P1,P5"
Setya Idayanto,320028548735068000,Malang,04/04/1991,Petani,Rp 1.000.000,7,1,3,1,0,1,1000000,34,"P1,P3,P5",3,"Score: 3/6 - P1,P3,P5"
Titi Kurniawan,320003054416112000,Semarang,02/02/1967,Karyawan,Rp 1.000.000,4,0,1,1,0,1,1000000,58,"P1,P5",2,"Score: 2/6 - P1,P5"
Maya Budiyanto,320028478046773000,Palembang,29/04/1983,Petani,Rp 500.000,7,1,2,1,2,0,500000,42,"P1,P3,P6",3,"Score: 3/6 - P1,P3,P6"
Jane Jailani,320076673045935000,Bekasi,25/07/1962,Karyawan,Rp 1.500.000,4,0,1,2,0,0,1500000,62,"P1,P4",2,"Score: 2/6 - P1,P4"
Mana Siregar,320057799679323000,Palangka Raya,04/05/1972,Wiraswasta,Rp 2.000.000,5,1,1,2,0,1,2000000,53,"P1,P4,P5",3,"Score: 3/6 - P1,P4,P5"
Rcaraka Tamrin,320075676990496000,Surabaya,11/09/1999,Karyawan,Rp 2.000.000,6,1,1,1,1,1,2000000,25,"P1,P5,P6",3,"Score: 3/6 - P1,P5,P6"
Purwanto Waskita,320050289522648000,Surabaya,10/10/1998,Tidak Bekerja,Rp 0,5,1,0,1,2,1,0,26,"P1,P5,P6",3,"Score: 3/6 - P1,P5,P6"
Agus Siregar,320067539770761000,Kendari,27/07/1974,Wiraswasta,Rp 1.500.000,4,0,2,0,0,2,1500000,50,"P1,P3,P5",3,"Score: 3/6 - P1,P3,P5"
Almira Artati,320009448235027000,Yogyakarta,09/09/1966,Petani,Rp 1.000.000,6,1,2,1,0,2,1000000,58,"P1,P3,P5",3,"Score: 3/6 - P1,P3,P5"
Nilam Suartini,320065742551108000,Makassar,13/08/1965,Petani,Rp 1.000.000,3,0,1,0,2,0,1000000,59,"P1,P2,P6",3,"Score: 3/6 - P1,P2,P6"
Maria Nasyida,320032709212338000,Yogyakarta,14/02/2000,Petani,Rp 2.100.000,4,1,0,2,1,0,2100000,25,"P1,P4,P6",3,"Score: 3/6 - P1,P4,P6"
Krosman Wijaya,320006505378419000,Manado,23/08/1987,Karyawan,Rp 500.000,6,1,2,0,2,0,500000,37,"P1,P3,P6",3,"Score: 3/6 - P1,P3,P6"
Bagas Usada,320037455675347000,Pontianak,28/04/1966,Tidak Bekerja,Rp 0,4,1,1,2,0,0,0,59,"P1,P4",2,"Score: 2/6 - P1,P4"
Eka Prakasa,320021566606827000,Makassar,28/12/1981,Wiraswasta,Rp 500.000,4,1,0,1,1,0,500000,43,"P1,P6",2,"Score: 2/6 - P1,P6"
Garda Prasetyo,320015875062466000,Palangka Raya,25/02/1978,Tidak Bekerja,Rp 0,5,1,2,0,0,2,0,47,"P1,P3,P5",3,"Score: 3/6 - P1,P3,P5"
Qori Sirait,320030827642432000,Banjarmasin,27/04/1977,Petani,Rp 500.000,6,1,2,2,0,0,500000,48,"P1,P3,P4",3,"Score: 3/6 - P1,P3,P4"
Tirta Prasetyo,320010151752212000,Semarang,25/08/1977,Karyawan,Rp 1.500.000,4,0,2,1,0,1,1500000,47,"P1,P3,P5",3,"Score: 3/6 - P1,P3,P5"
Wawan Budiman,320086186606389000,Kendari,19/03/1986,Karyawan,Rp 500.000,6,0,1,2,0,2,500000,39,"P1,P4,P5",3,"Score: 3/6 - P1,P4,P5"
Aisya Marpaung,320054576645562000,Merauke,03/11/1974,Buruh,Rp 500.000,5,0,1,2,2,0,500000,50,"P1,P4,P6",3,"Score: 3/6 - P1,P4,P6"
Damu Ramawati,320094515279408000,Bogor,26/03/1957,Buruh,Rp 2.800.000,6,1,3,1,1,0,2800000,68,"P3,P6",2,"Score: 2/6 - P3,P6"
Azalea Winarno,320044863685758000,Semarang,07/12/1957,Petani,Rp 1.500.000,7,1,1,1,2,1,1500000,67,"P1,P5,P6",3,"Score: 3/6 - P1,P5,P6"
Puji Namaga,320017436349933000,Pekanbaru,17/04/1995,Wiraswasta,Rp 2.000.000,4,0,3,0,0,1,2000000,30,"P1,P3,P5",3,"Score: 3/6 - P1,P3,P5"
Purwa Waskita,320017417376093000,Balikpapan,09/10/1987,Buruh,Rp 500.000,2,1,0,0,0,0,500000,37,"P1,P2",2,"Score: 2/6 - P1,P2"
Ica Iswayudi,320009109413572000,Medan,19/02/1970,Buruh,Rp 1.000.000,6,1,1,1,2,1,1000000,55,"P1,P5,P6",3,"Score: 3/6 - P1,P5,P6"
Victoria Winarsi,320048296222397000,Palembang,21/08/1985,Wiraswasta,Rp 500.000,5,0,2,0,0,2,500000,39,"P1,P3,P5",3,"Score: 3/6 - P1,P3,P5"
Jaiman Kuswandari,320070766201849000,Jambi,13/02/1966,Petani,Rp 2.000.000,3,0,0,0,2,0,2000000,59,"P1,P2,P6",3,"Score: 3/6 - P1,P2,P6"
Tania Puspita,320053396840760000,Merauke,30/03/1973,Tidak Bekerja,Rp 0,5,0,3,1,0,0,0,52,"P1,P3",2,"Score: 2/6 - P1,P3"
Dimaz Narpati,320054694985599000,Bengkulu,01/04/1999,Petani,Rp 439.000,3,0,1,1,0,0,439000,26,"P1,P2",2,"Score: 2/6 - P1,P2"
Najwa Saefulla,320044883152054000,Malang,02/03/1955,Petani,Rp 1.500.000,5,1,0,0,2,1,1500000,70,"P1,P5,P6",3,"Score: 3/6 - P1,P5,P6"
Alika Marpaung,320009148957972000,Samarinda,04/11/1958,Wiraswasta,Rp 500.000,6,0,3,0,0,2,500000,66,"P1,P3,P5",3,"Score: 3/6 - P1,P3,P5"
Jarwa Aryanto,320047012816300000,Bekasi,08/02/1963,Karyawan,Rp 1.000.000,5,0,3,0,0,2,1000000,62,"P1,P3,P5",3,"Score: 3/6 - P1,P3,P5"
Rkariman Alima,320027772750503000,Kendari,02/07/1993,Tidak Bekerja,Rp 0,4,0,0,2,0,1,0,32,"P1,P4,P5",3,"Score: 3/6 - P1,P4,P5"
Umi Suryono,320018657141715000,Pontianak,01/05/1972,Petani,Rp 1.500.000,4,0,1,1,1,1,1500000,53,"P1,P5,P6",3,"Score: 3/6 - P1,P5,P6"
Talia Tamba,320091761565619000,Jayapura,08/11/1966,Karyawan,Rp 2.000.000,3,0,0,1,0,1,2000000,58,"P1,P2,P5",3,"Score: 3/6 - P1,P2,P5"
Enteng Saragi,320096271408769000,Manado,16/12/1986,Buruh,Rp 1.500.000,2,0,0,0,1,0,1500000,38,"P1,P2,P6",3,"Score: 3/6 - P1,P2,P6"
Janet Lailasari,320088084236969000,Pekanbaru,14/07/1978,Wiraswasta,Rp 500.000,5,0,1,1,1,1,500000,46,"P1,P5,P6",3,"Score: 3/6 - P1,P5,P6"
Tantri Saefulla,320049314425651000,Pontianak,10/11/1987,Karyawan,Rp 2.000.000,1,1,0,0,0,0,2000000,37,"P1,P2",2,"Score: 2/6 - P1,P2"
Setya Kuswandari,320088830918559000,Lampung,02/04/1995,Karyawan,Rp 1.500.000,6,0,1,0,2,2,1500000,30,"P1,P5,P6",3,"Score: 3/6 - P1,P5,P6"
Lukita Situmorang,320028249102693000,Palangka Raya,30/03/1995,Petani,Rp 500.000,3,0,0,2,0,0,500000,30,"P1,P2,P4",3,"Score: 3/6 - P1,P2,P4"
Edi Wacana,320049641042920000,Medan,04/06/1979,Tidak Bekerja,Rp 0,6,1,3,0,0,1,0,46,"P1,P3,P5",3,"Score: 3/6 - P1,P3,P5"
Silvia Megantara,320029698651979000,Palembang,05/08/1978,Petani,Rp 2.000.000,6,1,1,0,2,1,2000000,46,"P1,P5,P6",3,"Score: 3/6 - P1,P5,P6"
Maimuna Wulandari,320017560417824000,Padang,30/08/1995,Tidak Bekerja,Rp 0,3,1,0,0,1,0,0,29,"P1,P2,P6",3,"Score: 3/6 - P1,P2,P6"
Banawi Maulana,320083144204525000,Manokwari,12/06/1978,Buruh,Rp 2.000.000,4,1,2,0,0,1,2000000,47,"P1,P3,P5",3,"Score: 3/6 - P1,P3,P5"
Gaiman Oktaviani,320022935900185000,Lampung,15/11/1991,Karyawan,Rp 1.500.000,5,1,1,1,1,1,1500000,33,"P1,P5,P6",3,"Score: 3/6 - P1,P5,P6"
Unjani Gunawan,320040168378508000,Gorontalo,23/03/1980,Buruh,Rp 1.000.000,5,0,1,2,0,1,1000000,44,"P1,P4,P5",3,"Score: 3/6 - P1,P4,P5"
Kempluk Siombing,320003403059940000,Bengkulu,11/09/1959,Karyawan,Rp 2.000.000,4,1,2,0,1,0,2000000,65,"P1,P3,P6",3,"Score: 3/6 - P1,P3,P6"
Martana Dabukke,320048219429500000,Merauke,26/09/1977,Buruh,Rp 1.000.000,5,1,0,2,2,0,1000000,47,"P1,P4,P6",3,"Score: 3/6 - P1,P4,P6"
Jarwi Wastuti,320055470570524000,Bekasi,24/06/1959,Wiraswasta,Rp 1.500.000,2,0,0,0,2,0,1500000,66,"P1,P2,P6",3,"Score: 3/6 - P1,P2,P6"
Puti Tina Puspita,320092465372946000,Pekanbaru,19/04/1964,Karyawan,Rp 500.000,5,0,2,1,1,0,500000,61,"P1,P3,P6",3,"Score: 3/6 - P1,P3,P6"
Restu Nuraini,320000790708680000,Palangka raya,27/07/1996,Karyawan,Rp 2.000.000,5,0,2,0,0,2,2000000,28,"P1,P3,P5",3,"Score: 3/6 - P1,P3,P5"
Lukman Permata,320057008174562000,Merauke,03/09/2000,Petani,Rp 1.200.000,6,0,3,1,0,1,1200000,24,"P1,P3,P5",3,"Score: 3/6 - P1,P3,P5"
Zulfa Firmansya,320089927206257000,Malang,07/06/1980,Wiraswasta,Rp 1.500.000,6,1,0,1,2,2,1500000,45,"P1,P5,P6",3,"Score: 3/6 - P1,P5,P6"
Dariati Maendra,320093109886507000,Samarinda,06/12/1987,Karyawan,Rp 1.500.000,5,0,3,0,0,2,1500000,37,"P1,P3,P5",3,"Score: 3/6 - P1,P3,P5"
Ilda Waluyo,320022109544371000,Lampung,19/05/1984,Wiraswasta,Rp 2.000.000,3,0,2,0,0,0,2000000,41,"P1,P2,P3",3,"Score: 3/6 - P1,P2,P3"
Silvia Nainggolan,320022570008952000,Semarang,11/02/1989,Tidak Bekerja,Rp 0,6,0,3,1,1,0,0,36,"P1,P3,P6",3,"Score: 3/6 - P1,P3,P6"
Bagus Wibisono,320072219656443000,Palu,18/03/1970,Tidak Bekerja,Rp 0,6,1,0,2,0,2,0,55,"P1,P4,P5",3,"Score: 3/6 - P1,P4,P5"
Kemal Tarioran,320088078821801000,Palembang,15/08/1989,Petani,Rp 1.500.000,2,0,0,0,1,0,1500000,35,"P1,P2,P6",3,"Score: 3/6 - P1,P2,P6"
Usyi Assana,320032946330301000,Makassar,19/06/1998,Petani,Rp 2.000.000,4,1,2,1,0,0,2000000,27,"P1,P3",2,"Score: 2/6 - P1,P3"
Yuliana Nainggolan,320002838853192000,Palu,17/11/1984,Tidak Bekerja,Rp 0,4,0,1,1,2,0,0,40,"P1,P6",2,"Score: 2/6 - P1,P6"
Balijan Samosir,320007070511720000,Pontianak,16/09/1970,Karyawan,Rp 500.000,6,1,2,1,1,0,500000,54,"P1,P3,P6",3,"Score: 3/6 - P1,P3,P6"
Aisya Irawan,320059065008851000,Depok,23/07/1983,Wiraswasta,Rp 1.000.000,2,0,1,0,0,1,1000000,41,"P1,P2,P5",3,"Score: 3/6 - P1,P2,P5"
Jane Ardianto,320008871869986000,Padang,21/03/1990,Karyawan,Rp 1.000.000,6,0,3,2,0,0,1000000,35,"P1,P3,P4",3,"Score: 3/6 - P1,P3,P4"
Galar Mansur,320047297062551000,Pekanbaru,21/02/1979,Buruh,Rp 1.500.000,4,0,1,0,1,1,1500000,46,"P1,P5,P6",3,"Score: 3/6 - P1,P5,P6"
Puput Rajasa,320017347291868000,Malang,28/04/1998,Wiraswasta,Rp 1.000.000,5,0,0,2,0,2,1000000,27,"P1,P4,P5",3,"Score: 3/6 - P1,P4,P5"
Ana Laksmiwati,320003220422950000,Pontianak,05/06/1970,Petani,Rp 2.000.000,6,1,1,0,2,1,2000000,55,"P1,P5,P6",3,"Score: 3/6 - P1,P5,P6"
Garda Simbolon,320048327700913000,Palu,02/04/1981,Buruh,Rp 1.000.000,4,0,2,2,0,0,1000000,44,"P1,P3,P4",3,"Score: 3/6 - P1,P3,P4"
Zulaika Aryanto.,320058763755143000,Bogor,03/06/1973,Petani,Rp 1.000.000,5,0,0,2,0,2,1000000,52,"P1,P4,P5",3,"Score: 3/6 - P1,P4,P5"
Luwar Yolanda.,320053944378245000,Lampung,16/06/1991,Karyawan,Rp 2.000.000,4,1,2,0,0,1,2000000,34,"P1,P3,P5",3,"Score: 3/6 - P1,P3,P5"
Puti Gasti Sitorus,320079280517861000,Merauke,29/04/1982,Karyawan,Rp 1.500.000,5,1,0,1,2,0,1500000,43,"P1,P6",2,"Score: 2/6 - P1,P6"
Baktiono Tamrin,320000670491787000,Jayapura,12/09/1969,Karyawan,Rp 2.000.000,6,1,3,0,0,1,2000000,55,"P1,P3,P5",3,"Score: 3/6 - P1,P3,P5"
Danu Winarno,320077391836804000,Bekasi,13/07/1979,Petani,Rp 2.000.000,4,1,0,0,2,1,2000000,45,"P1,P5,P6",3,"Score: 3/6 - P1,P5,P6"
Tina Siombing,320091920248456000,Manado,17/11/1981,Tidak Bekerja,Rp 0,4,0,1,2,1,0,0,43,"P1,P4,P6",3,"Score: 3/6 - P1,P4,P6"
Betania Widiastuti,320042779691793000,Banjarmasin,13/01/1992,Wiraswasta,Rp 1.500.000,5,0,0,2,0,2,1500000,33,"P1,P4,P5",3,"Score: 3/6 - P1,P4,P5"
Empluk Gunarto,320011926910473000,Palu,02/07/1990,Tidak Bekerja,Rp 0,4,1,2,0,1,0,0,35,"P1,P3,P6",3,"Score: 3/6 - P1,P3,P6"
Jabal Marbun,320001703724612000,Manokwari,22/06/1997,Petani,Rp 1.500.000,5,1,0,2,1,0,1500000,28,"P1,P4,P6",3,"Score: 3/6 - P1,P4,P6"
Jelita Mandasari,320053280403539000,Malang,15/06/1974,Karyawan,Rp 2.000.000,2,1,1,0,0,0,2000000,51,"P1,P2",2,"Score: 2/6 - P1,P2"
Kajen Widodo,320067047272052000,Medan,03/09/1974,Karyawan,Rp 500.000,4,1,0,1,1,0,500000,50,"P1,P6",2,"Score: 2/6 - P1,P6"
Galar Puspasari,320070358013272000,Bengkulu,16/12/1997,Wiraswasta,Rp 2.000.000,6,0,3,1,0,2,2000000,27,"P1,P3,P5",3,"Score: 3/6 - P1,P3,P5"
Agnes Yuniar,320097102985501000,Pontianak,18/07/1984,Tidak Bekerja,Rp 0,5,1,0,2,2,0,0,40,"P1,P4,P6",3,"Score: 3/6 - P1,P4,P6"
Vera Marpaung,320063098633819000,Bogor,02/03/1987,Wiraswasta,Rp 1.000.000,6,1,0,0,2,2,1000000,38,"P1,P5,P6",3,"Score: 3/6 - P1,P5,P6"
Limar Sinaga,320069482551820000,Jambi,16/01/1963,Karyawan,Rp 2.000.000,5,1,1,1,1,0,2000000,62,"P1,P6",2,"Score: 2/6 - P1,P6"
Taufan Wacana,320032212447260000,Malang,10/10/1972,Petani,Rp 1.000.000,5,0,2,1,0,1,1000000,52,"P1,P3,P5",3,"Score: 3/6 - P1,P3,P5"
Tina Melani,320033618992366000,Surabaya,18/12/1984,Petani,Rp 2.000.000,5,1,3,0,0,1,2000000,40,"P1,P3,P5",3,"Score: 3/6 - P1,P3,P5"
Jono Nasyia,320018674081859000,Gorontalo,13/01/1965,Buruh,Rp 1.000.000,5,1,3,0,0,1,1000000,60,"P1,P3,P5",3,"Score: 3/6 - P1,P3,P5"
Dia Natsir,320085198176006000,Gorontalo,19/12/1975,Tidak Bekerja,Rp 0,5,1,1,1,0,2,0,49,"P1,P5",2,"Score: 2/6 - P1,P5"
Klukman Siotang,320046961586697000,Jambi,19/04/1963,Wiraswasta,Rp 500.000,6,1,1,2,2,0,500000,62,"P1,P4,P6",3,"Score: 3/6 - P1,P4,P6"
Ida Firgantoro,320076697842774000,Palu,26/01/1978,Karyawan,Rp 2.000.000,6,0,1,0,2,2,2000000,47,"P1,P5,P6",3,"Score: 3/6 - P1,P5,P6"
Gabriella Marpaung,320052065074672000,Balikpapan,28/04/1955,Buruh,Rp 2.000.000,6,0,3,0,0,2,2000000,70,"P1,P3,P5",3,"Score: 3/6 - P1,P3,P5"
Tgkirsad Mansur,320007491610661000,Palembang,30/05/1956,Tidak Bekerja,Rp 0,6,0,3,2,0,0,0,69,"P1,P3,P4",3,"Score: 3/6 - P1,P3,P4"
Puput Nasiruddin,320047399860691000,Bogor,04/08/1961,Buruh,Rp 1.500.000,3,0,0,1,0,2,1500000,63,"P1,P2,P5",3,"Score: 3/6 - P1,P2,P5"
