NIK,Pendapatan,Pendapatan_Numerik
320063098633819000,Rp 1.000.000,1000000
320026082571625000,Rp 1.000.000,1000000
320073976245891000,Rp 1.500.000,1500000
320069482551820000,Rp 2.000.000,2000000
320037950626292000,Rp 2.000.000,2000000
320047865644556000,Rp 2.000.000,2000000
320089746017145000,Rp 1.500.000,1500000
320015005478644000,Rp 2.000.000,2000000
320005204195151000,Rp 500.000,500000
320032212447260000,Rp 1.000.000,1000000
320033618992366000,Rp 2.000.000,2000000
320026061451687000,Rp 2.000.000,2000000
320018674081859000,Rp 1.000.000,1000000
320018015085831000,Rp 2.000.000,2000000
320085198176006000,Rp 0,0
320046961586697000,Rp 500.000,500000
320076697842774000,Rp 2.000.000,2000000
320085557367285000,Rp 1.500.000,1500000
320001590280479000,Rp 1.500.000,1500000
320056445144421000,Rp 2.000.000,2000000
320052065074672000,Rp 2.000.000,2000000
320007491610661000,Rp 0,0
320047399860691000,Rp 1.500.000,1500000
320073772097214000,Rp 1.000.000,1000000
320065018859733000,Rp 0,0
320026019567702000,Rp 500.000,500000
320068276368964000,Rp 1.500.000,1500000
320010747793356000,Rp 1.500.000,1500000
320071384585105000,Rp 1.000.000,1000000
320098789827837000,Rp 0,0
320057532489833000,Rp 2.000.000,2000000
320058269193425000,Rp 1.500.000,1500000
320047016799814000,Rp 1.000.000,1000000
320077303751288000,Rp 1.000.000,1000000
320041790272481000,Rp 2.000.000,2000000
320026292311532000,Rp 500.000,500000
320089512914542000,Rp 2.000.000,2000000
320006488436291000,Rp 500.000,500000
320098227040594000,Rp 500.000,500000
320052052720780000,Rp 0,0
320086312170141000,Rp 0,0
320067022293209000,Rp 500.000,500000
320047821617434000,Rp 1.000.000,1000000
320025703355735000,Rp 2.000.000,2000000
320039489174458000,Rp 1.500.000,1500000
320074143139011000,Rp 1.500.000,1500000
320073987068397000,Rp 1.000.000,1000000
320003815077097000,Rp 0,0
320009712581131000,Rp 0,0
320020292586470000,Rp 1.000.000,1000000
320056915826046000,Rp 1.000.000,1000000
320010723329491000,Rp 500.000,500000
320073972455378000,Rp 1.500.000,1500000
320073724872764000,Rp 0,0
320021042945101000,Rp 500.000,500000
320052317926102000,Rp 0,0
320089936119834000,Rp 1.500.000,1500000
320034143186495000,Rp 2.000.000,2000000
320009899715395000,Rp 2.000.000,2000000
320041302623817000,Rp 0,0
320006737971951000,Rp 1.500.000,1500000
320005324322005000,Rp 0,0
320016836317245000,Rp 2.000.000,2000000
320036587593986000,Rp 2.000.000,2000000
320094413246557000,Rp 2.000.000,2000000
320097367174081000,Rp 0,0
320047285414594000,Rp 0,0
320079167997856000,Rp 500.000,500000
320099451139783000,Rp 1.500.000,1500000
320064242256225000,Rp 1.000.000,1000000
320017806209677000,Rp 2.000.000,2000000
320049154497313000,Rp 500.000,500000
320080203365735000,Rp 500.000,500000
320049501660732000,Rp 2.000.000,2000000
320085051640622000,Rp 1.000.000,1000000
320075771278198000,Rp 1.500.000,1500000
320075137391278000,Rp 2.000.000,2000000
320061313751321000,Rp 1.000.000,1000000
320049314732416000,Rp 1.500.000,1500000
320069808312731000,Rp 1.500.000,1500000
320034505129760000,Rp 1.000.000,1000000
320011903689477000,Rp 1.000.000,1000000
320038151996945000,Rp 2.000.000,2000000
320097385095785000,Rp 1.000.000,1000000
320000742144477000,Rp 1.500.000,1500000
320023492662587000,Rp 2.000.000,2000000
320050792397084000,Rp 1.500.000,1500000
320081073029039000,Rp 0,0
320040079097432000,Rp 2.000.000,2000000
320029643684560000,Rp 0,0
320071485914213000,Rp 500.000,500000
320025662061025000,Rp 2.000.000,2000000
320010449019578000,Rp 0,0
320029548426078000,Rp 2.000.000,2000000
320028422513659000,Rp 1.000.000,1000000
320008981648392000,Rp 0,0
320084288356733000,Rp 1.500.000,1500000
320026737271174000,Rp 500.000,500000
320092745330928000,Rp 0,0
320084054616430000,Rp 1.500.000,1500000
320034903101227000,Rp 500.000,500000
320071061269023000,Rp 0,0
320029437733187000,Rp 1.500.000,1500000
320059055169685000,Rp 2.000.000,2000000
320093795398310000,Rp 1.500.000,1500000
320080929455756000,Rp 0,0
320092777206498000,Rp 0,0
320016736632150000,Rp 2.000.000,2000000
320038281231656000,Rp 2.000.000,2000000
320006563833983000,Rp 2.000.000,2000000
320090594089543000,Rp 1.000.000,1000000
320009142614080000,Rp 500.000,500000
320068801430657000,Rp 500.000,500000
320040617920222000,Rp 2.000.000,2000000
320072651023115000,Rp 2.000.000,2000000
320092009858704000,Rp 500.000,500000
320098937701799000,Rp 0,0
320026307319345000,Rp 500.000,500000
320068607340050000,Rp 1.200.000,1200000
320066817399783000,Rp 2.000.000,2000000
320094183589450000,Rp 1.000.000,1000000
320051527504732000,Rp 2.000.000,2000000
320024529036247000,Rp 1.500.000,1500000
320044198140495000,Rp 1.200.000,1200000
320088057220428000,Rp 1.200.000,1200000
320025256290361000,Rp 0,0
320016605991285000,Rp 2.000.000,2000000
320030355829814000,Rp 0,0
320099866018964000,Rp 0,0
320027393762364000,Rp 1.500.000,1500000
320023334057645000,Rp 500.000,500000
320022088612800000,Rp 0,0
320082647212918000,Rp 0,0
320079149785068000,Rp 1.000.000,1000000
320048378329216000,Rp 2.000.000,2000000
320065489093315000,Rp 1.800.000,1800000
320027774846301000,Rp 1.200.000,1200000
320098931434765000,Rp 500.000,500000
320077349993907000,Rp 1.000.000,1000000
320012642532979000,Rp 2.000.000,2000000
320035867762587000,Rp 0,0
320098775891305000,Rp 1.500.000,1500000
320014766954672000,Rp 0,0
320096574258357000,Rp 2.000.000,2000000
320041861544454000,Rp 1.500.000,1500000
320092730757789000,Rp 3.000.000,3000000
320022079495686000,Rp 500.000,500000
320006499168722000,Rp 1.000.000,1000000
320039052198796000,Rp 0,0
320014838604833000,Rp 1.000.000,1000000
320050147812030000,Rp 0,0
320084488443524000,Rp 500.000,500000
320032511094960000,Rp 1.000.000,1000000
320016771377441000,Rp 1.500.000,1500000
320060256043779000,Rp 500.000,500000
320099609870774000,Rp 2.000.000,2000000
320077134244031000,Rp 1.500.000,1500000
320057447383702000,Rp 0,0
320046254165743000,Rp 1.000.000,1000000
320028479299214000,Rp 1.000.000,1000000
320004658191465000,Rp 1.500.000,1500000
320062128691967000,Rp 1.500.000,1500000
320076934933838000,Rp 2.000.000,2000000
320097201033697000,Rp 210.000,210000
320004932012745000,Rp 1.000.000,1000000
320042550679039000,Rp 0,0
320018041417160000,Rp 500.000,500000
320073981216661000,Rp 500.000,500000
320002521069825000,Rp 1.000.000,1000000
320099349845941000,Rp 1.500.000,1500000
320081448287419000,Rp 0,0
320022064815138000,Rp 500.000,500000
320044211441762000,Rp 2.000.000,2000000
320046207301634000,Rp 500.000,500000
320040582576477000,Rp 2.000.000,2000000
320078126744538000,Rp 2.000.000,2000000
320043560562937000,Rp 500.000,500000
320051713758124000,Rp 2.000.000,2000000
320063851334287000,Rp 1.500.000,1500000
320038062138407000,Rp 0,0
320004573918632000,Rp 1.500.000,1500000
320095551505041000,Rp 1.500.000,1500000
320087550107986000,Rp 0,0
320019965127675000,Rp 329.000,329000
320020702177952000,Rp 1.000.000,1000000
320074495296015000,Rp 1.000.000,1000000
320029773305353000,Rp 500.000,500000
320055110988462000,Rp 2.000.000,2000000
320001899484923000,Rp 1.500.000,1500000
320028222304766000,Rp 1.000.000,1000000
320010322269540000,Rp 1.500.000,1500000
320094498846694000,Rp 2.000.000,2000000
320030818841329000,Rp 1.500.000,1500000
320072406155240000,Rp 500.000,500000
320065240680643000,Rp 2.300.000,2300000
320023258433442000,Rp 500.000,500000
320015230706647000,Rp 0,0
320033034227158000,Rp 0,0
320069357830436000,Rp 500.000,500000
320086955905586000,Rp 0,0
320096059172362000,Rp 1.000.000,1000000
320019705412087000,Rp 0,0
320070438952762000,Rp 1.500.000,1500000
320009985394618000,Rp 2.000.000,2000000
320002982360009000,Rp 0,0
320029032296800000,Rp 1.500.000,1500000
320004014810853000,Rp 1.000.000,1000000
320010227712157000,Rp 1.000.000,1000000
320076512928681000,Rp 0,0
320084102773778000,Rp 0,0
320079723183096000,Rp 1.000.000,1000000
320067932787971000,Rp 1.000.000,1000000
320017454342102000,Rp 500.000,500000
320005534813300000,Rp 1.000.000,1000000
320067140505099000,Rp 500.000,500000
320089061922021000,Rp 1.000.000,1000000
320050735767251000,Rp 1.000.000,1000000
320078328765266000,Rp 1.500.000,1500000
320087813667407000,Rp 0,0
320094550145753000,Rp 0,0
320009660142262000,Rp 500.000,500000
320062744180087000,Rp 2.500.000,2500000
320045984187504000,Rp 500.000,500000
320035866934815000,Rp 500.000,500000
320019547234012000,Rp 1.500.000,1500000
320022505036585000,Rp 1.000.000,1000000
320085230359257000,Rp 1.500.000,1500000
320099409048745000,Rp 0,0
320077403889945000,Rp 1.000.000,1000000
320077008216183000,Rp 2.000.000,2000000
320057290214152000,Rp 0,0
320072541284092000,Rp 1.000.000,1000000
320026266721062000,Rp 2.000.000,2000000
320057178375065000,Rp 800.000,800000
320035649572331000,Rp 900.000,900000
320087389669157000,Rp 1.000.000,1000000
320083705513822000,Rp 1.500.000,1500000
320049837061632000,Rp 500.000,500000
320065869937573000,Rp 500.000,500000
320017408156699000,Rp 2.000.000,2000000
320052370281350000,Rp 0,0
320052852148984000,Rp 500.000,500000
320046600810610000,Rp 500.000,500000
320027224136088000,Rp 1.000.000,1000000
320007738011195000,Rp 2.000.000,2000000
320006039973669000,Rp 500.000,500000
320070870354251000,Rp 0,0
320015352384530000,Rp 0,0
320042124803182000,Rp 500.000,500000
320079848360827000,Rp 700.000,700000
320008966202404000,Rp 500.000,500000
320027910856249000,Rp 1.000.000,1000000
320010583527179000,Rp 0,0
320007492232554000,Rp 1.500.000,1500000
320054422436190000,Rp 1.500.000,1500000
320010370991564000,Rp 500.000,500000
320010133994098000,Rp 1.500.000,1500000
320020909455178000,Rp 1.000.000,1000000
320033670142312000,Rp 1.500.000,1500000
320081799533775000,Rp 2.000.000,2000000
320043521058218000,Rp 0,0
320072065235688000,Rp 0,0
320014410422014000,Rp 1.500.000,1500000
320038680639337000,Rp 0,0
320063973054937000,Rp 0,0
320055535750033000,Rp 1.000.000,1000000
320011678823410000,Rp 0,0
320081072742902000,Rp 2.000.000,2000000
