Nama_KK,NIK,Domisili,Tanggal_Lahir,Pekerjaan,Pendapatan,Jumlah_Anggota_Keluarga,Jumlah_Ibu_Hamil,Jumlah_Balita,Jumlah_Lansia,Jumlah_Anak_Putus_Sekolah,Jumlah_Anggota_Disabilitas,Pendapatan_Numerik,Umur,KSE,KSE_Score,KSE_Details
Arsanto Situmorang,320032382067648000,Sorong,03/11/1994,Petani,Rp 2.000.000,3,0,2,0,1,0,2000000,30,"P1,P2,P3,P6",4,"Score: 4/6 - P1,P2,P3,P6"
Puti Elisa Narpati,320016870517187000,Samarinda,22/04/1995,Petani,Rp 1.200.000,7,1,1,2,1,2,1200000,30,"P1,P4,P5,P6",4,"Score: 4/6 - P1,P4,P5,P6"
Galu Agustina,320033512659439000,Manado,24/03/1961,Karyawan,Rp 2.000.000,6,0,2,2,0,1,2000000,64,"P1,P3,P4,P5",4,"Score: 4/6 - P1,P3,P4,P5"
Zulfa Assana,320010455561674000,Medan,08/10/1994,Wiraswasta,Rp 2.000.000,7,0,2,0,2,2,2000000,30,"P1,P3,P5,P6",4,"Score: 4/6 - P1,P3,P5,P6"
Paiman Wibisono,320018215799380000,Manado,08/02/1968,Wiraswasta,Rp 1.000.000,5,0,2,0,2,1,1000000,57,"P1,P3,P5,P6",4,"Score: 4/6 - P1,P3,P5,P6"
Cakrawala Winarno,320074509610763000,Pontianak,04/05/1959,Buruh,Rp 1.000.000,7,0,2,1,1,2,1000000,66,"P1,P3,P5,P6",4,"Score: 4/6 - P1,P3,P5,P6"
Wisnu Samosir,320004561269204000,Semarang,12/02/1965,Karyawan,Rp 1.000.000,7,0,3,2,0,1,1000000,60,"P1,P3,P4,P5",4,"Score: 4/6 - P1,P3,P4,P5"
Lalita Irawan,320083583792952000,Samarinda,25/07/1967,Buruh,Rp 1.500.000,6,0,0,2,1,2,1500000,57,"P1,P4,P5,P6",4,"Score: 4/6 - P1,P4,P5,P6"
Cut Kamila Sitorus,320035077947601000,Manokwari,25/03/1965,Buruh,Rp 1.000.000,7,0,2,2,2,0,1000000,60,"P1,P3,P4,P6",4,"Score: 4/6 - P1,P3,P4,P6"
Tgkprasetya Prabowo,320075658086064000,Banjarmasin,11/04/1992,Buruh,Rp 1.500.000,7,1,2,2,2,0,1500000,33,"P1,P3,P4,P6",4,"Score: 4/6 - P1,P3,P4,P6"
Kardi Prasasta,320018517018389000,Padang,07/01/1976,Wiraswasta,Rp 1.500.000,10,1,3,2,1,2,1500000,49,"P1,P3,P4,P5,P6",5,"Score: 5/6 - P1,P3,P4,P5,P6"
Artawan Tarioran,320053230120765000,Pekanbaru,19/04/1968,Petani,Rp 1.200.000,7,1,2,2,2,0,1200000,57,"P1,P3,P4,P6",4,"Score: 4/6 - P1,P3,P4,P6"
Endra Mansur,320089510112061000,Balikpapan,05/05/1964,Tidak Bekerja,Rp 0,6,1,2,0,2,1,0,61,"P1,P3,P5,P6",4,"Score: 4/6 - P1,P3,P5,P6"
Marsudi Kuswandari,320062138243589000,Bekasi,19/01/1989,Tidak Bekerja,Rp 0,8,0,2,2,2,2,0,36,"P1,P3,P4,P5,P6",5,"Score: 5/6 - P1,P3,P4,P5,P6"
Luwar Gunarto,320073335881469000,Pontianak,15/10/1987,Petani,Rp 1.000.000,7,0,2,2,1,2,1000000,37,"P1,P3,P4,P5,P6",5,"Score: 5/6 - P1,P3,P4,P5,P6"
Gasti Prakasa,320059532754062000,Manokwari,18/03/1984,Tidak Bekerja,Rp 0,5,0,2,2,0,1,0,41,"P1,P3,P4,P5",4,"Score: 4/6 - P1,P3,P4,P5"
Okto Uyaina,320092754345201000,Pontianak,20/04/1988,Wiraswasta,Rp 500.000,9,1,3,2,0,2,500000,37,"P1,P3,P4,P5",4,"Score: 4/6 - P1,P3,P4,P5"
Jabal Manullang,320048230247746000,Semarang,29/03/1971,Petani,Rp 500.000,8,1,2,2,2,0,500000,54,"P1,P3,P4,P6",4,"Score: 4/6 - P1,P3,P4,P6"
Talia Maulana,320045261647542000,Bekasi,14/01/1957,Karyawan,Rp 2.000.000,9,1,1,2,2,2,2000000,68,"P1,P4,P5,P6",4,"Score: 4/6 - P1,P4,P5,P6"
Ajiono Namaga,320036183360206000,Padang,06/11/1997,Petani,Rp 500.000,7,1,1,2,1,1,500000,27,"P1,P4,P5,P6",4,"Score: 4/6 - P1,P4,P5,P6"
Titi Mardiya,320046132065600000,Palangka Raya,14/08/1974,Petani,Rp 2.000.000,7,1,3,2,0,1,2000000,50,"P1,P3,P4,P5",4,"Score: 4/6 - P1,P3,P4,P5"
Jarwadi Usama,320008051919634000,Bandung,08/10/1971,Petani,Rp 1.500.000,5,1,0,2,1,1,1500000,53,"P1,P4,P5,P6",4,"Score: 4/6 - P1,P4,P5,P6"
Wisnu Firmansya,320047231730906000,Lampung,13/10/1984,Karyawan,Rp 1.200.000,8,0,3,2,1,1,1200000,40,"P1,P3,P4,P5,P6",5,"Score: 5/6 - P1,P3,P4,P5,P6"
Treksa Wulandari,320028498718726000,Semarang,13/07/1973,Tidak Bekerja,Rp 0,5,0,2,0,1,1,0,51,"P1,P3,P5,P6",4,"Score: 4/6 - P1,P3,P5,P6"
Sutan Bakiono Dongoran,320008285141317000,Makassar,23/01/1959,Karyawan,Rp 1.500.000,7,0,2,2,2,1,1500000,66,"P1,P3,P4,P5,P6",5,"Score: 5/6 - P1,P3,P4,P5,P6"
Karma Padmasari,320082661386687000,Medan,18/05/1960,Wiraswasta,Rp 1.500.000,6,0,2,0,1,2,1500000,65,"P1,P3,P5,P6",4,"Score: 4/6 - P1,P3,P5,P6"
Cager Winarno,320096969810659000,Depok,09/06/1987,Wiraswasta,Rp 1.500.000,7,0,2,2,2,0,1500000,38,"P1,P3,P4,P6",4,"Score: 4/6 - P1,P3,P4,P6"
Opung Andriani,320047646990364000,Semarang,03/01/1993,Petani,Rp 500.000,6,0,2,2,2,0,500000,32,"P1,P3,P4,P6",4,"Score: 4/6 - P1,P3,P4,P6"
Daru Nasiruddin,320059631632949000,Bengkulu,12/03/1963,Buruh,Rp 2.000.000,5,0,3,0,1,1,2000000,62,"P1,P3,P5,P6",4,"Score: 4/6 - P1,P3,P5,P6"
Wira Nugroo,320007663691144000,Semarang,24/01/1980,Karyawan,Rp 500.000,7,0,2,2,2,0,500000,45,"P1,P3,P4,P6",4,"Score: 4/6 - P1,P3,P4,P6"
Gabriella Astuti,320068263778211000,Yogyakarta,17/03/1977,Tidak Bekerja,Rp 0,11,1,3,2,2,2,0,48,"P1,P3,P4,P5,P6",5,"Score: 5/6 - P1,P3,P4,P5,P6"
Gali Megantara,320019652706863000,Merauke,27/12/1980,Buruh,Rp 1.000.000,9,1,3,1,2,1,1000000,44,"P1,P3,P5,P6",4,"Score: 4/6 - P1,P3,P5,P6"
Janet Zulkarnain,320009630333109000,Bengkulu,30/12/1980,Petani,Rp 1.500.000,8,1,0,2,2,2,1500000,44,"P1,P4,P5,P6",4,"Score: 4/6 - P1,P4,P5,P6"
Genta Aryani,320018936026238000,Palangka Raya,06/07/1990,Wiraswasta,Rp 1.500.000,6,1,0,2,1,2,1500000,34,"P1,P4,P5,P6",4,"Score: 4/6 - P1,P4,P5,P6"
Cayadi Winarsi,320055510272176000,Balikpapan,09/03/1969,Karyawan,Rp 500.000,8,0,2,2,1,2,500000,56,"P1,P3,P4,P5,P6",5,"Score: 5/6 - P1,P3,P4,P5,P6"
Lidya Maryadi,320087186914157000,Sorong,06/07/1970,Buruh,Rp 1.000.000,7,0,3,2,1,1,1000000,54,"P1,P3,P4,P5,P6",5,"Score: 5/6 - P1,P3,P4,P5,P6"
Jelita Utapea,320019612533701000,Pekanbaru,21/01/1999,Petani,Rp 2.000.000,8,0,3,1,2,2,2000000,26,"P1,P3,P5,P6",4,"Score: 4/6 - P1,P3,P5,P6"
Belinda Wibisono.,320084667446156000,Gorontalo,10/10/1971,Karyawan,Rp 2.000.000,6,0,3,2,0,1,2000000,53,"P1,P3,P4,P5",4,"Score: 4/6 - P1,P3,P4,P5"
Galar Usada,320042630910821000,Jambi,01/06/1971,Petani,Rp 1.000.000,8,0,2,2,2,2,1000000,54,"P1,P3,P4,P5,P6",5,"Score: 5/6 - P1,P3,P4,P5,P6"
Micelle Utapea,320031997382554000,Samarinda,09/12/1974,Karyawan,Rp 2.000.000,6,1,2,1,1,1,2000000,50,"P1,P3,P5,P6",4,"Score: 4/6 - P1,P3,P5,P6"
Bala Firmansya,320051018757635000,Malang,09/08/1963,Petani,Rp 500.000,5,0,2,0,2,1,500000,61,"P1,P3,P5,P6",4,"Score: 4/6 - P1,P3,P5,P6"
Kacung Irawan,320011698665840000,Jambi,22/02/1990,Karyawan,Rp 1.000.000,5,0,1,2,1,1,1000000,35,"P1,P4,P5,P6",4,"Score: 4/6 - P1,P4,P5,P6"
Maimuna Sitompul,320061284928640000,Pekanbaru,17/04/1979,Buruh,Rp 1.500.000,8,1,2,2,1,2,1500000,46,"P1,P3,P4,P5,P6",5,"Score: 5/6 - P1,P3,P4,P5,P6"
Anom Uwais,320002424763447000,Makassar,05/12/1991,Karyawan,Rp 500.000,6,0,2,1,1,1,500000,33,"P1,P3,P5,P6",4,"Score: 4/6 - P1,P3,P5,P6"
Kambali Mayasari,320023710455523000,Bekasi,11/08/1970,Karyawan,Rp 1.500.000,7,1,2,2,1,1,1500000,54,"P1,P3,P4,P5,P6",5,"Score: 5/6 - P1,P3,P4,P5,P6"
Asirwada Kuswoyo,320085345134890000,Padang,16/10/1975,Tidak Bekerja,Rp 0,7,0,3,0,2,2,0,49,"P1,P3,P5,P6",4,"Score: 4/6 - P1,P3,P5,P6"
Racel Setiawan,320082651220602000,Banjarmasin,23/01/1975,Petani,Rp 1.500.000,8,0,3,2,1,2,1500000,50,"P1,P3,P4,P5,P6",5,"Score: 5/6 - P1,P3,P4,P5,P6"
Nurul Wibowo,320056190713256000,Semarang,15/08/1965,Tidak Bekerja,Rp 0,6,1,3,0,1,1,0,59,"P1,P3,P5,P6",4,"Score: 4/6 - P1,P3,P5,P6"
Nadine Idayanto,320028951312724000,Manado,22/01/1988,Tidak Bekerja,Rp 0,7,1,3,2,1,0,0,37,"P1,P3,P4,P6",4,"Score: 4/6 - P1,P3,P4,P6"
Tami Marpaung,320042621147706000,Malang,29/11/1991,Buruh,Rp 1.000.000,5,0,2,2,0,1,1000000,33,"P1,P3,P4,P5",4,"Score: 4/6 - P1,P3,P4,P5"
Sutan Danuja Nasiruddin,320027861028094000,Medan,27/04/1976,Tidak Bekerja,Rp 0,7,0,3,1,1,2,0,49,"P1,P3,P5,P6",4,"Score: 4/6 - P1,P3,P5,P6"
Tasdik Narpati,320048915285009000,Kendari,23/02/1979,Wiraswasta,Rp 1.500.000,3,0,0,1,1,1,1500000,46,"P1,P2,P5,P6",4,"Score: 4/6 - P1,P2,P5,P6"
Vino Sitorus,320041933089271000,Malang,09/01/1987,Karyawan,Rp 1.000.000,7,1,2,0,2,1,1000000,38,"P1,P3,P5,P6",4,"Score: 4/6 - P1,P3,P5,P6"
Rati Tamrin,320025438098722000,Balikpapan,27/11/1955,Buruh,Rp 1.500.000,6,1,2,0,1,2,1500000,69,"P1,P3,P5,P6",4,"Score: 4/6 - P1,P3,P5,P6"
Siska Winarsi,320015214708127000,Jayapura,16/11/1982,Wiraswasta,Rp 2.000.000,4,0,0,2,1,1,2000000,42,"P1,P4,P5,P6",4,"Score: 4/6 - P1,P4,P5,P6"
Nova Kusumo.,320054977459400000,Balikpapan,24/07/1981,Petani,Rp 1.000.000,7,0,2,2,0,2,1000000,43,"P1,P3,P4,P5",4,"Score: 4/6 - P1,P3,P4,P5"
Teddy Firgantoro,320017454193329000,Jambi,26/02/1983,Tidak Bekerja,Rp 0,5,0,0,2,1,2,0,42,"P1,P4,P5,P6",4,"Score: 4/6 - P1,P4,P5,P6"
Rmila Budiman,320036131171910000,Bandung,17/02/1977,Wiraswasta,Rp 1.500.000,8,1,2,2,1,1,1500000,48,"P1,P3,P4,P5,P6",5,"Score: 5/6 - P1,P3,P4,P5,P6"
Intan Simanjuntak,320038104559598000,Padang,29/11/1995,Karyawan,Rp 500.000,7,0,2,2,2,0,500000,29,"P1,P3,P4,P6",4,"Score: 4/6 - P1,P3,P4,P6"
Zalindra Laksmiwati,320026082571625000,Samarinda,25/03/1970,Buruh,Rp 1.000.000,3,0,0,0,1,1,1000000,55,"P1,P2,P5,P6",4,"Score: 4/6 - P1,P2,P5,P6"
Janet Salaudin,320073976245891000,Lampung,22/07/1956,Wiraswasta,Rp 1.500.000,8,0,2,1,2,2,1500000,68,"P1,P3,P5,P6",4,"Score: 4/6 - P1,P3,P5,P6"
Irfan Sudiati,320037950626292000,Palembang,19/09/1978,Wiraswasta,Rp 2.000.000,9,1,3,2,0,2,2000000,46,"P1,P3,P4,P5",4,"Score: 4/6 - P1,P3,P4,P5"
Bakiman Idayat,320047865644556000,Pekanbaru,10/08/1988,Petani,Rp 2.000.000,7,1,3,2,0,1,2000000,36,"P1,P3,P4,P5",4,"Score: 4/6 - P1,P3,P4,P5"
Nilam Ardiansya,320089746017145000,Malang,07/08/1980,Buruh,Rp 1.500.000,5,1,0,2,1,1,1500000,44,"P1,P4,P5,P6",4,"Score: 4/6 - P1,P4,P5,P6"
Lalita Firmansya,320015005478644000,Manokwari,27/06/1974,Buruh,Rp 2.000.000,9,0,2,2,2,2,2000000,51,"P1,P3,P4,P5,P6",5,"Score: 5/6 - P1,P3,P4,P5,P6"
Marwata Narpati,320005204195151000,Pekanbaru,20/06/1955,Karyawan,Rp 500.000,3,1,0,0,1,1,500000,70,"P1,P2,P5,P6",4,"Score: 4/6 - P1,P2,P5,P6"
Zizi Anggraini,320026061451687000,Banjarmasin,08/08/1998,Buruh,Rp 2.000.000,7,1,3,2,0,1,2000000,26,"P1,P3,P4,P5",4,"Score: 4/6 - P1,P3,P4,P5"
Gani Kusumo,320018015085831000,Bogor,25/06/1986,Karyawan,Rp 2.000.000,8,1,3,1,2,1,2000000,39,"P1,P3,P5,P6",4,"Score: 4/6 - P1,P3,P5,P6"
Jasmin Gunawan,320085557367285000,Surabaya,14/06/1992,Karyawan,Rp 1.500.000,8,1,3,2,1,0,1500000,33,"P1,P3,P4,P6",4,"Score: 4/6 - P1,P3,P4,P6"
Jarwi Permadi,320001590280479000,Surabaya,04/01/1961,Petani,Rp 1.500.000,8,1,2,1,2,1,1500000,64,"P1,P3,P5,P6",4,"Score: 4/6 - P1,P3,P5,P6"
Elvina Nurdiyanti,320056445144421000,Medan,01/07/1964,Petani,Rp 2.000.000,7,0,3,0,1,2,2000000,61,"P1,P3,P5,P6",4,"Score: 4/6 - P1,P3,P5,P6"
Karima Tamrin,320073772097214000,Kendari,12/05/1986,Buruh,Rp 1.000.000,6,0,3,0,2,1,1000000,39,"P1,P3,P5,P6",4,"Score: 4/6 - P1,P3,P5,P6"
Lalita Wayudin,320068276368964000,Jambi,08/04/1987,Karyawan,Rp 1.500.000,6,0,3,2,1,0,1500000,38,"P1,P3,P4,P6",4,"Score: 4/6 - P1,P3,P4,P6"
Karima Budiman,320010747793356000,Balikpapan,07/07/1972,Wiraswasta,Rp 1.500.000,5,0,1,2,1,1,1500000,52,"P1,P4,P5,P6",4,"Score: 4/6 - P1,P4,P5,P6"
Luung Andriani,320071384585105000,Banjarmasin,06/06/1984,Wiraswasta,Rp 1.000.000,4,0,0,2,1,1,1000000,41,"P1,P4,P5,P6",4,"Score: 4/6 - P1,P4,P5,P6"
Yoga Kusumo,320098789827837000,Pekanbaru,13/08/1957,Tidak Bekerja,Rp 0,6,0,3,1,1,1,0,67,"P1,P3,P5,P6",4,"Score: 4/6 - P1,P3,P5,P6"
Capa Abibi,320041790272481000,Gorontalo,13/09/1985,Wiraswasta,Rp 2.000.000,3,0,0,2,0,1,2000000,39,"P1,P2,P4,P5",4,"Score: 4/6 - P1,P2,P4,P5"
Jamalia Mandasari,320006488436291000,Medan,24/12/1984,Petani,Rp 500.000,7,1,2,0,2,1,500000,40,"P1,P3,P5,P6",4,"Score: 4/6 - P1,P3,P5,P6"
Ari Raayu,320098227040594000,Jambi,25/03/1989,Wiraswasta,Rp 500.000,8,1,3,1,2,1,500000,36,"P1,P3,P5,P6",4,"Score: 4/6 - P1,P3,P5,P6"
Nilam Pradipta,320052052720780000,Bogor,12/11/1959,Tidak Bekerja,Rp 0,9,1,2,2,2,1,0,65,"P1,P3,P4,P5,P6",5,"Score: 5/6 - P1,P3,P4,P5,P6"
Aswani Prastuti,320086312170141000,Palangka Raya,17/04/1979,Tidak Bekerja,Rp 0,3,0,1,0,1,1,0,46,"P1,P2,P5,P6",4,"Score: 4/6 - P1,P2,P5,P6"
Elma Nainggolan,320047821617434000,Semarang,03/02/1967,Karyawan,Rp 1.000.000,3,0,0,1,1,1,1000000,58,"P1,P2,P5,P6",4,"Score: 4/6 - P1,P2,P5,P6"
Jamil Rajata,320039489174458000,Manado,13/06/1963,Petani,Rp 1.500.000,6,0,2,0,2,2,1500000,62,"P1,P3,P5,P6",4,"Score: 4/6 - P1,P3,P5,P6"
Talia Winarsi,320020292586470000,Yogyakarta,25/06/1962,Petani,Rp 1.000.000,10,1,3,2,2,2,1000000,63,"P1,P3,P4,P5,P6",5,"Score: 5/6 - P1,P3,P4,P5,P6"
Cakrajiya Nasiruddin,320056915826046000,Malang,05/10/1980,Petani,Rp 1.000.000,7,0,2,2,1,2,1000000,44,"P1,P3,P4,P5,P6",5,"Score: 5/6 - P1,P3,P4,P5,P6"
Rafi Januar,320010723329491000,Merauke,19/01/1993,Petani,Rp 500.000,7,1,2,2,2,0,500000,32,"P1,P3,P4,P6",4,"Score: 4/6 - P1,P3,P4,P6"
Jarwi Saputra,320073972455378000,Bogor,27/09/1978,Buruh,Rp 1.500.000,8,0,3,1,1,2,1500000,46,"P1,P3,P5,P6",4,"Score: 4/6 - P1,P3,P5,P6"
Bakidin Nugroo,320073724872764000,Malang,11/02/1999,Tidak Bekerja,Rp 0,6,1,0,2,1,2,0,26,"P1,P4,P5,P6",4,"Score: 4/6 - P1,P4,P5,P6"
Jayadi Laksita,320052317926102000,Pontianak,13/03/1996,Tidak Bekerja,Rp 0,8,1,2,1,2,1,0,29,"P1,P3,P5,P6",4,"Score: 4/6 - P1,P3,P5,P6"
Samia Raayu,320041302623817000,Bandung,14/04/1999,Tidak Bekerja,Rp 0,7,0,3,1,2,1,0,26,"P1,P3,P5,P6",4,"Score: 4/6 - P1,P3,P5,P6"
Gadu Yuliarti,320006737971951000,Samarinda,17/04/1986,Karyawan,Rp 1.500.000,5,0,0,2,1,1,1500000,39,"P1,P4,P5,P6",4,"Score: 4/6 - P1,P4,P5,P6"
Sutan Gamanto Suartini,320016836317245000,Jambi,11/06/1969,Karyawan,Rp 2.000.000,8,0,3,1,2,2,2000000,56,"P1,P3,P5,P6",4,"Score: 4/6 - P1,P3,P5,P6"
Madinata Susanti,320036587593986000,Palembang,08/10/1996,Wiraswasta,Rp 2.000.000,5,0,2,2,1,0,2000000,28,"P1,P3,P4,P6",4,"Score: 4/6 - P1,P3,P4,P6"
Eko Siotang,320097367174081000,Semarang,14/09/1996,Tidak Bekerja,Rp 0,9,1,3,2,2,1,0,28,"P1,P3,P4,P5,P6",5,"Score: 5/6 - P1,P3,P4,P5,P6"
Vivi Siregar,320099451139783000,Palu,08/11/1971,Petani,Rp 1.500.000,8,1,2,1,1,2,1500000,53,"P1,P3,P5,P6",4,"Score: 4/6 - P1,P3,P5,P6"
Janet Uwais,320075137391278000,Bandung,30/05/1999,Karyawan,Rp 2.000.000,8,0,2,2,2,2,2000000,26,"P1,P3,P4,P5,P6",5,"Score: 5/6 - P1,P3,P4,P5,P6"
Kasirwanda Lestari,320061313751321000,Yogyakarta,09/07/1970,Buruh,Rp 1.000.000,7,0,3,1,2,1,1000000,54,"P1,P3,P5,P6",4,"Score: 4/6 - P1,P3,P5,P6"
Janet Aryanto,320069808312731000,Jayapura,15/09/1993,Petani,Rp 1.500.000,9,1,3,1,2,1,1500000,31,"P1,P3,P5,P6",4,"Score: 4/6 - P1,P3,P5,P6"
Nilam Damanik,320011903689477000,Manado,18/08/1968,Buruh,Rp 1.000.000,6,1,2,2,1,0,1000000,56,"P1,P3,P4,P6",4,"Score: 4/6 - P1,P3,P4,P6"
Ade Wacana,320038151996945000,Medan,10/02/1974,Petani,Rp 2.000.000,9,1,3,2,1,2,2000000,51,"P1,P3,P4,P5,P6",5,"Score: 5/6 - P1,P3,P4,P5,P6"
Tami Suryono,320023492662587000,Malang,12/11/1955,Wiraswasta,Rp 2.000.000,8,1,2,1,1,2,2000000,69,"P1,P3,P5,P6",4,"Score: 4/6 - P1,P3,P5,P6"
Julia Lailasari,320081073029039000,Lampung,30/05/1962,Tidak Bekerja,Rp 0,7,0,2,1,2,1,0,63,"P1,P3,P5,P6",4,"Score: 4/6 - P1,P3,P5,P6"
Keisa Sinaga,320040079097432000,Medan,04/01/1993,Wiraswasta,Rp 2.000.000,9,1,3,2,2,0,2000000,32,"P1,P3,P4,P6",4,"Score: 4/6 - P1,P3,P4,P6"
Fara Siombing,320028422513659000,Pekanbaru,08/08/1956,Karyawan,Rp 1.000.000,9,1,2,1,2,2,1000000,68,"P1,P3,P5,P6",4,"Score: 4/6 - P1,P3,P5,P6"
Mujur Astuti,320084288356733000,Balikpapan,24/06/2000,Wiraswasta,Rp 1.500.000,6,0,3,0,1,1,1500000,25,"P1,P3,P5,P6",4,"Score: 4/6 - P1,P3,P5,P6"
Melinda Siombing,320026737271174000,Bengkulu,17/12/1975,Wiraswasta,Rp 500.000,6,1,1,2,1,1,500000,49,"P1,P4,P5,P6",4,"Score: 4/6 - P1,P4,P5,P6"
Kasim Widodo,320059055169685000,Manado,23/07/1967,Karyawan,Rp 2.000.000,10,1,3,1,2,2,2000000,57,"P1,P3,P5,P6",4,"Score: 4/6 - P1,P3,P5,P6"
Sabrina Adriansya,320080929455756000,Pekanbaru,30/09/1991,Tidak Bekerja,Rp 0,9,0,3,1,2,2,0,33,"P1,P3,P5,P6",4,"Score: 4/6 - P1,P3,P5,P6"
Kprayoga Tampubolon,320092777206498000,Jayapura,11/02/1957,Tidak Bekerja,Rp 0,6,0,3,2,0,1,0,68,"P1,P3,P4,P5",4,"Score: 4/6 - P1,P3,P4,P5"
Irfan Waskita,320016736632150000,Bogor,04/05/2000,Karyawan,Rp 2.000.000,6,1,2,2,1,0,2000000,25,"P1,P3,P4,P6",4,"Score: 4/6 - P1,P3,P4,P6"
Mariadi Oktaviani,320068801430657000,Samarinda,02/09/1973,Wiraswasta,Rp 500.000,8,1,3,2,0,1,500000,51,"P1,P3,P4,P5",4,"Score: 4/6 - P1,P3,P4,P5"
Umar Megantara,320072651023115000,Bandung,05/10/1996,Karyawan,Rp 2.000.000,9,0,2,2,2,2,2000000,28,"P1,P3,P4,P5,P6",5,"Score: 5/6 - P1,P3,P4,P5,P6"
Balidin Yolanda,320098937701799000,Banjarmasin,06/04/1978,Tidak Bekerja,Rp 0,8,1,3,0,1,2,0,47,"P1,P3,P5,P6",4,"Score: 4/6 - P1,P3,P5,P6"
Ayu Abibi,320026307319345000,Gorontalo,10/02/1960,Wiraswasta,Rp 500.000,8,1,2,2,2,0,500000,65,"P1,P3,P4,P6",4,"Score: 4/6 - P1,P3,P4,P6"
Puti Rati Ardianto,320066817399783000,Kendari,05/12/1968,Buruh,Rp 2.000.000,3,0,1,0,1,1,2000000,56,"P1,P2,P5,P6",4,"Score: 4/6 - P1,P2,P5,P6"
