Nama_KK,NIK,Domisili,Tanggal_Lahir,Pekerjaan,Pendapatan,Jumlah_Anggota_Keluarga,Jumlah_Ibu_Hamil,Jumlah_Balita,Jumlah_Lansia,Jumlah_Anak_Putus_Sekolah,Jumlah_Anggota_Disabilitas,Pendapatan_Numerik,Umur
Bambang Pratama,320023757541922000,Pekanbaru,13/09/1997,Petani,Rp 500.000,7,1,2,2,1,1,500000,27
Ina Prakasa,320012178302779000,Depok,18/05/1981,Wiraswasta,Rp 2.000.000,5,0,1,0,2,2,2000000,44
Kania Agustina,320014201781673000,Depok,13/03/1957,Buruh,Rp 1.500.000,6,0,2,2,1,1,1500000,68
Bagas Sudiati,320095076107476000,Lampung,22/12/1974,Karyawan,Rp 1.500.000,8,1,2,0,2,2,1500000,50
Alika Nurdiyanti,320026996547400000,Bogor,17/04/1986,Wiraswasta,Rp 1.500.000,7,0,0,2,2,2,1500000,39
Saiful Zulkarnain,320050279632018000,Pontianak,08/10/1986,Petani,Rp 2.000.000,7,1,1,2,0,2,2000000,38
Eru Nurdiyanti,320025520814230000,Manokwari,16/05/1956,Karyawan,Rp 2.000.000,5,0,1,1,1,2,2000000,69
Emong Yolanda,320061641922481000,Lampung,25/06/1956,Buruh,Rp 1.500.000,7,1,3,1,1,1,1500000,69
Asmadi Idayat,320083674157812000,Manokwari,04/03/1970,Tidak Bekerja,Rp 0,6,1,2,1,2,0,0,55
Titi Saefulla,320025053848712000,Semarang,20/04/2025,Karyawan,Rp 1.500.000,11,1,3,2,2,2,1500000,0
Ana Wijaya,320049615997543000,Gorontalo,14/06/1979,Karyawan,Rp 1.500.000,8,1,1,1,2,2,1500000,46
Aisya Widiastuti,320055493809217000,Malang,08/08/1967,Tidak Bekerja,Rp 0,3,1,0,1,0,0,0,57
Rwani Dabukke.,320065660405344000,Balikpapan,05/10/1995,Petani,Rp 2.000.000,3,0,1,2,0,0,2000000,29
Warta Sirait,320025395899437000,Banjarmasin,05/05/1997,Karyawan,Rp 2.000.000,9,0,3,2,2,2,2000000,28
Nadine Agustina,320054432077941000,Semarang,07/07/1995,Wiraswasta,Rp 500.000,1,0,0,1,0,0,500000,29
Ani Aryanti,320099790408632000,Palembang,17/07/1965,Tidak Bekerja,Rp 0,5,1,1,1,2,0,0,59
Timbul Lailasari,320006745305159000,Pontianak,16/09/1998,Tidak Bekerja,Rp 0,6,0,3,2,0,1,0,26
Tgkbalapati Zulaika,320087789454308000,Palu,12/01/1994,Tidak Bekerja,Rp 0,5,0,3,2,0,0,0,31
Fitria Suwarno,320001941615529000,Bandung,18/07/1994,Buruh,Rp 500.000,5,0,0,2,2,0,500000,30
Kamila Prasetya,320022099756722000,Depok,10/11/1975,Petani,Rp 500.000,4,1,1,0,0,2,500000,49
Rangga Saefulla,320086794541978000,Pontianak,19/10/1990,Buruh,Rp 2.000.000,6,0,3,1,1,1,2000000,34
Rlatika Widiastuti,320029523417350000,Semarang,28/04/1957,Buruh,Rp 1.000.000,3,0,2,1,0,0,1000000,68
Sabri Ramawati,320090131222138000,Manokwari,15/02/1993,Buruh,Rp 1.500.000,4,0,0,1,0,2,1500000,32
Tgkwisnu Pudjiastuti.,320045178801629000,Gorontalo,24/04/1978,Wiraswasta,Rp 1.000.000,4,1,1,1,0,0,1000000,47
Lanang Kusumo,320054244519285000,Balikpapan,23/05/1961,Petani,Rp 1.500.000,5,0,1,2,2,0,1500000,64
Zamira Rajata,320028864619255000,Banjarmasin,06/12/1965,Tidak Bekerja,Rp 0,5,1,0,0,2,1,0,59
Vino Pangestu,320058935744799000,Pekanbaru,01/03/1991,Tidak Bekerja,Rp 0,3,1,0,0,2,0,0,34
Martani Farida,320026658648285000,Bengkulu,27/03/1962,Tidak Bekerja,Rp 0,7,1,3,0,0,2,0,63
Rudi Laksita,320044153485704000,Makassar,23/04/1989,Wiraswasta,Rp 1.500.000,4,0,1,0,1,1,1500000,36
Vicky Simanjuntak,320041407404848000,Sorong,06/05/1961,Buruh,Rp 500.000,4,0,0,0,1,2,500000,64
Mala Zulaika,320019868494507000,Malang,02/05/1965,Petani,Rp 1.000.000,7,1,2,1,2,1,1000000,60
Oliva Anggriawan,320075479734574000,Depok,09/08/1960,Wiraswasta,Rp 1.500.000,6,1,1,0,2,1,1500000,64
Bagiya Novitasari,320078930615272000,Pontianak,30/07/1975,Tidak Bekerja,Rp 0,6,1,3,2,0,0,0,49
Julia Manullang,320042576891809000,Medan,28/06/1975,Tidak Bekerja,Rp 0,6,1,0,2,0,2,0,50
Samia Sinaga.,320039233492183000,Bekasi,19/12/1991,Tidak Bekerja,Rp 0,3,0,0,0,1,2,0,33
Banara Kurniawan,320073103025530000,Bengkulu,14/04/1993,Buruh,Rp 1.000.000,7,0,3,2,2,0,1000000,32
Gilda Prastuti,320091242876782000,Balikpapan,14/12/1987,Buruh,Rp 1.500.000,5,0,2,1,1,1,1500000,37
Nadia Alima,320033176011845000,Padang,13/10/1963,Wiraswasta,Rp 4.000.000,8,1,1,2,2,2,4000000,61
Legawa Nasyida,320079064791514000,Kendari,12/10/1983,Karyawan,Rp 1.000.000,3,0,0,1,0,2,1000000,41
Aditya Mustofa,320098307948501000,Depok,19/12/1974,Karyawan,Rp 2.000.000,4,1,0,2,1,0,2000000,50
Ikin Saptono,320083365575031000,Pekanbaru,21/07/2025,Karyawan,Rp 2.000.000,6,0,3,0,0,2,2000000,-1
Gading Fujiati,320045584128988000,Jambi,18/05/1994,Buruh,Rp 1.500.000,7,1,1,1,2,2,1500000,31
Ayu Prasetyo,320076104779405000,Malang,22/09/1965,Tidak Bekerja,Rp 0,8,0,3,2,2,0,0,59
Zara Akim,320014706389760000,Samarinda,12/02/1964,Karyawan,Rp 1.500.000,5,1,1,2,1,0,1500000,61
Laras Akim,320060859991178000,Padang,06/06/1998,Tidak Bekerja,Rp 0,5,0,3,0,1,0,0,27
Arsanto Situmorang,320032382067648000,Sorong,03/11/1994,Petani,Rp 2.000.000,3,0,2,0,1,0,2000000,30
Puti Elisa Narpati,320016870517187000,Samarinda,22/04/1995,Petani,Rp 1.200.000,7,1,1,2,1,2,1200000,30
Sakura Yuliarti,320044896163013000,Bengkulu,13/04/1970,Tidak Bekerja,Rp 0,4,0,0,1,2,1,0,55
Galu Agustina,320033512659439000,Manado,24/03/1961,Karyawan,Rp 2.000.000,6,0,2,2,0,1,2000000,64
Zulfa Assana,320010455561674000,Medan,08/10/1994,Wiraswasta,Rp 2.000.000,7,0,2,0,2,2,2000000,30
Paiman Wibisono,320018215799380000,Manado,08/02/1968,Wiraswasta,Rp 1.000.000,5,0,2,0,2,1,1000000,57
Wira Prakasa,320006677789361000,Merauke,09/10/1991,Buruh,Rp 500.000,6,1,0,1,2,1,500000,33
Ratna Farida,320054087834713000,Gorontalo,13/04/1987,Karyawan,Rp 3.500.000,3,0,1,0,2,0,3500000,38
Cakrawala Winarno,320074509610763000,Pontianak,04/05/1959,Buruh,Rp 1.000.000,7,0,2,1,1,2,1000000,66
Wisnu Samosir,320004561269204000,Semarang,12/02/1965,Karyawan,Rp 1.000.000,7,0,3,2,0,1,1000000,60
Lalita Irawan,320083583792952000,Samarinda,25/07/1967,Buruh,Rp 1.500.000,6,0,0,2,1,2,1500000,57
Olivia Marbun,320013415911875000,Medan,06/12/1990,Tidak Bekerja,Rp 0,5,1,0,1,2,1,0,34
Lamar Dongoran,320079338007984000,Bogor,30/11/1958,Petani,Rp 2.000.000,6,1,3,0,0,1,2000000,66
Amelia Andriani,320033618857197000,Palangka Raya,13/09/1964,Wiraswasta,Rp 1.000.000,6,1,2,0,0,2,1000000,60
Mulya Agustina,320051056018390000,Merauke,16/03/1978,Buruh,Rp 1.500.000,5,1,0,0,2,2,1500000,47
Puti Sadina Budiyanto,320094937434646000,Padang,23/05/1976,Buruh,Rp 1.000.000,5,1,1,1,2,0,1000000,49
Tina Firmansya,320044176569017000,Semarang,18/06/1957,Petani,Rp 2.000.000,6,1,3,0,1,0,2000000,68
Cut Amalia Pangestu,320000313001879000,Sorong,12/04/2000,Wiraswasta,Rp 1.200.000,6,1,2,1,0,2,1200000,25
Cut Kamila Sitorus,320035077947601000,Manokwari,25/03/1965,Buruh,Rp 1.000.000,7,0,2,2,2,0,1000000,60
Padmi Purnawati,320044291975929000,Semarang,10/11/1963,Tidak Bekerja,Rp 0,5,1,1,0,2,0,0,61
Puti Ella Pratiwi,320024104672139000,Palangka Raya,30/05/1960,Karyawan,Rp 1.200.000,4,1,0,1,1,1,1200000,65
Yance Zulaika,320059482067099000,Jayapura,05/06/1984,Tidak Bekerja,Rp 0,2,0,1,0,0,1,0,41
Elu Lestari,320038150946212000,Yogyakarta,13/09/1978,Karyawan,Rp 2.000.000,6,1,0,2,2,0,2000000,46
Tgkprasetya Prabowo,320075658086064000,Banjarmasin,11/04/1992,Buruh,Rp 1.500.000,7,1,2,2,2,0,1500000,33
Kardi Prasasta,320018517018389000,Padang,07/01/1976,Wiraswasta,Rp 1.500.000,10,1,3,2,1,2,1500000,49
Jasmani Sitompul,320006520662995000,Gorontalo,17/11/1974,Tidak Bekerja,Rp 0,5,0,3,2,0,0,0,50
Marwata Waluyo,320007577408220000,Manokwari,16/12/1969,Petani,Rp 500.000,4,0,2,1,0,0,500000,55
Sadina Siregar,320016713539865000,Bogor,17/09/1959,Petani,Rp 5.000.000,9,1,3,2,1,2,5000000,65
Wakiman Utagalung,320000066644558000,Samarinda,16/03/1968,Karyawan,Rp 3.200.000,6,1,3,0,0,2,3200000,57
Artawan Tarioran,320053230120765000,Pekanbaru,19/04/1968,Petani,Rp 1.200.000,7,1,2,2,2,0,1200000,57
Azalea Yolanda,320000309718969000,Gorontalo,22/03/1961,Buruh,Rp 2.600.000,4,1,0,0,0,2,2600000,64
Esti Simbolon,320068568277692000,Bekasi,19/12/1983,Karyawan,Rp 1.000.000,4,1,1,0,0,1,1000000,41
Setya Idayanto,320028548735068000,Malang,04/04/1991,Petani,Rp 1.000.000,7,1,3,1,0,1,1000000,34
Titi Kurniawan,320003054416112000,Semarang,02/02/1967,Karyawan,Rp 1.000.000,4,0,1,1,0,1,1000000,58
Maya Budiyanto,320028478046773000,Palembang,29/04/1983,Petani,Rp 500.000,7,1,2,1,2,0,500000,42
Jane Jailani,320076673045935000,Bekasi,25/07/1962,Karyawan,Rp 1.500.000,4,0,1,2,0,0,1500000,62
Endra Mansur,320089510112061000,Balikpapan,05/05/1964,Tidak Bekerja,Rp 0,6,1,2,0,2,1,0,61
Mana Siregar,320057799679323000,Palangka Raya,04/05/1972,Wiraswasta,Rp 2.000.000,5,1,1,2,0,1,2000000,53
Rcaraka Tamrin,320075676990496000,Surabaya,11/09/1999,Karyawan,Rp 2.000.000,6,1,1,1,1,1,2000000,25
Purwanto Waskita,320050289522648000,Surabaya,10/10/1998,Tidak Bekerja,Rp 0,5,1,0,1,2,1,0,26
Agus Siregar,320067539770761000,Kendari,27/07/1974,Wiraswasta,Rp 1.500.000,4,0,2,0,0,2,1500000,50
Almira Artati,320009448235027000,Yogyakarta,09/09/1966,Petani,Rp 1.000.000,6,1,2,1,0,2,1000000,58
Nilam Suartini,320065742551108000,Makassar,13/08/1965,Petani,Rp 1.000.000,3,0,1,0,2,0,1000000,59
Marsudi Kuswandari,320062138243589000,Bekasi,19/01/1989,Tidak Bekerja,Rp 0,8,0,2,2,2,2,0,36
Luwar Gunarto,320073335881469000,Pontianak,15/10/1987,Petani,Rp 1.000.000,7,0,2,2,1,2,1000000,37
Maria Nasyida,320032709212338000,Yogyakarta,14/02/2000,Petani,Rp 2.100.000,4,1,0,2,1,0,2100000,25
Gasti Prakasa,320059532754062000,Manokwari,18/03/1984,Tidak Bekerja,Rp 0,5,0,2,2,0,1,0,41
Krosman Wijaya,320006505378419000,Manado,23/08/1987,Karyawan,Rp 500.000,6,1,2,0,2,0,500000,37
Okto Uyaina,320092754345201000,Pontianak,20/04/1988,Wiraswasta,Rp 500.000,9,1,3,2,0,2,500000,37
Jabal Manullang,320048230247746000,Semarang,29/03/1971,Petani,Rp 500.000,8,1,2,2,2,0,500000,54
Talia Maulana,320045261647542000,Bekasi,14/01/1957,Karyawan,Rp 2.000.000,9,1,1,2,2,2,2000000,68
Bagas Usada,320037455675347000,Pontianak,28/04/1966,Tidak Bekerja,Rp 0,4,1,1,2,0,0,0,59
Eka Prakasa,320021566606827000,Makassar,28/12/1981,Wiraswasta,Rp 500.000,4,1,0,1,1,0,500000,43
Garda Prasetyo,320015875062466000,Palangka Raya,25/02/1978,Tidak Bekerja,Rp 0,5,1,2,0,0,2,0,47
Qori Sirait,320030827642432000,Banjarmasin,27/04/1977,Petani,Rp 500.000,6,1,2,2,0,0,500000,48
Tirta Prasetyo,320010151752212000,Semarang,25/08/1977,Karyawan,Rp 1.500.000,4,0,2,1,0,1,1500000,47
Wawan Budiman,320086186606389000,Kendari,19/03/1986,Karyawan,Rp 500.000,6,0,1,2,0,2,500000,39
Ajiono Namaga,320036183360206000,Padang,06/11/1997,Petani,Rp 500.000,7,1,1,2,1,1,500000,27
Aisya Marpaung,320054576645562000,Merauke,03/11/1974,Buruh,Rp 500.000,5,0,1,2,2,0,500000,50
Zelda Nuraini,320038883022616000,Bekasi,05/07/2025,Petani,Rp 500.000,6,0,3,2,0,1,500000,0
Damu Ramawati,320094515279408000,Bogor,26/03/1957,Buruh,Rp 2.800.000,6,1,3,1,1,0,2800000,68
Azalea Winarno,320044863685758000,Semarang,07/12/1957,Petani,Rp 1.500.000,7,1,1,1,2,1,1500000,67
Puji Namaga,320017436349933000,Pekanbaru,17/04/1995,Wiraswasta,Rp 2.000.000,4,0,3,0,0,1,2000000,30
Purwa Waskita,320017417376093000,Balikpapan,09/10/1987,Buruh,Rp 500.000,2,1,0,0,0,0,500000,37
Titi Mardiya,320046132065600000,Palangka Raya,14/08/1974,Petani,Rp 2.000.000,7,1,3,2,0,1,2000000,50
Jarwadi Usama,320008051919634000,Bandung,08/10/1971,Petani,Rp 1.500.000,5,1,0,2,1,1,1500000,53
Ica Iswayudi,320009109413572000,Medan,19/02/1970,Buruh,Rp 1.000.000,6,1,1,1,2,1,1000000,55
Victoria Winarsi,320048296222397000,Palembang,21/08/1985,Wiraswasta,Rp 500.000,5,0,2,0,0,2,500000,39
Jaiman Kuswandari,320070766201849000,Jambi,13/02/1966,Petani,Rp 2.000.000,3,0,0,0,2,0,2000000,59
Tania Puspita,320053396840760000,Merauke,30/03/1973,Tidak Bekerja,Rp 0,5,0,3,1,0,0,0,52
Wisnu Firmansya,320047231730906000,Lampung,13/10/1984,Karyawan,Rp 1.200.000,8,0,3,2,1,1,1200000,40
Kcemani Nasiruddin,320002368027411000,Sorong,26/06/2025,Petani,Rp 500.000,6,0,2,2,0,2,500000,0
Zalindra Kuswoyo,320096456634396000,Yogyakarta,29/11/1982,Karyawan,Rp 4.200.000,9,0,3,2,2,1,4200000,42
Airyanto Siregar,320054487131715000,Semarang,01/01/1977,Karyawan,Rp 3.300.000,2,1,0,0,0,0,3300000,48
Dimaz Narpati,320054694985599000,Bengkulu,01/04/1999,Petani,Rp 439.000,3,0,1,1,0,0,439000,26
Najwa Saefulla,320044883152054000,Malang,02/03/1955,Petani,Rp 1.500.000,5,1,0,0,2,1,1500000,70
Alika Marpaung,320009148957972000,Samarinda,04/11/1958,Wiraswasta,Rp 500.000,6,0,3,0,0,2,500000,66
Jarwa Aryanto,320047012816300000,Bekasi,08/02/1963,Karyawan,Rp 1.000.000,5,0,3,0,0,2,1000000,62
Rkariman Alima,320027772750503000,Kendari,02/07/1993,Tidak Bekerja,Rp 0,4,0,0,2,0,1,0,32
Treksa Wulandari,320028498718726000,Semarang,13/07/1973,Tidak Bekerja,Rp 0,5,0,2,0,1,1,0,51
Umi Suryono,320018657141715000,Pontianak,01/05/1972,Petani,Rp 1.500.000,4,0,1,1,1,1,1500000,53
Talia Tamba,320091761565619000,Jayapura,08/11/1966,Karyawan,Rp 2.000.000,3,0,0,1,0,1,2000000,58
Enteng Saragi,320096271408769000,Manado,16/12/1986,Buruh,Rp 1.500.000,2,0,0,0,1,0,1500000,38
Janet Lailasari,320088084236969000,Pekanbaru,14/07/1978,Wiraswasta,Rp 500.000,5,0,1,1,1,1,500000,46
Sutan Bakiono Dongoran,320008285141317000,Makassar,23/01/1959,Karyawan,Rp 1.500.000,7,0,2,2,2,1,1500000,66
Tantri Saefulla,320049314425651000,Pontianak,10/11/1987,Karyawan,Rp 2.000.000,1,1,0,0,0,0,2000000,37
Setya Kuswandari,320088830918559000,Lampung,02/04/1995,Karyawan,Rp 1.500.000,6,0,1,0,2,2,1500000,30
Karma Padmasari,320082661386687000,Medan,18/05/1960,Wiraswasta,Rp 1.500.000,6,0,2,0,1,2,1500000,65
Lukita Situmorang,320028249102693000,Palangka Raya,30/03/1995,Petani,Rp 500.000,3,0,0,2,0,0,500000,30
Edi Wacana,320049641042920000,Medan,04/06/1979,Tidak Bekerja,Rp 0,6,1,3,0,0,1,0,46
Silvia Megantara,320029698651979000,Palembang,05/08/1978,Petani,Rp 2.000.000,6,1,1,0,2,1,2000000,46
Maimuna Wulandari,320017560417824000,Padang,30/08/1995,Tidak Bekerja,Rp 0,3,1,0,0,1,0,0,29
Banawi Maulana,320083144204525000,Manokwari,12/06/1978,Buruh,Rp 2.000.000,4,1,2,0,0,1,2000000,47
Cager Winarno,320096969810659000,Depok,09/06/1987,Wiraswasta,Rp 1.500.000,7,0,2,2,2,0,1500000,38
Opung Andriani,320047646990364000,Semarang,03/01/1993,Petani,Rp 500.000,6,0,2,2,2,0,500000,32
Gaiman Oktaviani,320022935900185000,Lampung,15/11/1991,Karyawan,Rp 1.500.000,5,1,1,1,1,1,1500000,33
Unjani Gunawan,320040168378508000,Gorontalo,10/12/2025,Buruh,Rp 1.000.000,5,0,1,2,0,1,1000000,-1
Kempluk Siombing,320003403059940000,Bengkulu,11/09/1959,Karyawan,Rp 2.000.000,4,1,2,0,1,0,2000000,65
Martana Dabukke,320048219429500000,Merauke,26/09/1977,Buruh,Rp 1.000.000,5,1,0,2,2,0,1000000,47
Daru Nasiruddin,320059631632949000,Bengkulu,12/03/1963,Buruh,Rp 2.000.000,5,0,3,0,1,1,2000000,62
Wira Nugroo,320007663691144000,Semarang,24/01/1980,Karyawan,Rp 500.000,7,0,2,2,2,0,500000,45
Gabriella Astuti,320068263778211000,Yogyakarta,17/03/1977,Tidak Bekerja,Rp 0,11,1,3,2,2,2,0,48
Gali Megantara,320019652706863000,Merauke,27/12/1980,Buruh,Rp 1.000.000,9,1,3,1,2,1,1000000,44
Janet Zulkarnain,320009630333109000,Bengkulu,30/12/1980,Petani,Rp 1.500.000,8,1,0,2,2,2,1500000,44
Jarwi Wastuti,320055470570524000,Bekasi,24/06/1959,Wiraswasta,Rp 1.500.000,2,0,0,0,2,0,1500000,66
Genta Aryani,320018936026238000,Palangka Raya,06/07/1990,Wiraswasta,Rp 1.500.000,6,1,0,2,1,2,1500000,34
Puti Tina Puspita,320092465372946000,Pekanbaru,19/04/1964,Karyawan,Rp 500.000,5,0,2,1,1,0,500000,61
Restu Nuraini,320000790708680000,Palangka raya,27/07/1996,Karyawan,Rp 2.000.000,5,0,2,0,0,2,2000000,28
Cayadi Winarsi,320055510272176000,Balikpapan,09/03/1969,Karyawan,Rp 500.000,8,0,2,2,1,2,500000,56
Lukman Permata,320057008174562000,Merauke,03/09/2000,Petani,Rp 1.200.000,6,0,3,1,0,1,1200000,24
Zulfa Firmansya,320089927206257000,Malang,07/06/1980,Wiraswasta,Rp 1.500.000,6,1,0,1,2,2,1500000,45
Lidya Maryadi,320087186914157000,Sorong,06/07/1970,Buruh,Rp 1.000.000,7,0,3,2,1,1,1000000,54
Dariati Maendra,320093109886507000,Samarinda,06/12/1987,Karyawan,Rp 1.500.000,5,0,3,0,0,2,1500000,37
Ilda Waluyo,320022109544371000,Lampung,19/05/1984,Wiraswasta,Rp 2.000.000,3,0,2,0,0,0,2000000,41
Silvia Nainggolan,320022570008952000,Semarang,11/02/1989,Tidak Bekerja,Rp 0,6,0,3,1,1,0,0,36
Jelita Utapea,320019612533701000,Pekanbaru,21/01/1999,Petani,Rp 2.000.000,8,0,3,1,2,2,2000000,26
Belinda Wibisono.,320084667446156000,Gorontalo,10/10/1971,Karyawan,Rp 2.000.000,6,0,3,2,0,1,2000000,53
Bagus Wibisono,320072219656443000,Palu,18/03/1970,Tidak Bekerja,Rp 0,6,1,0,2,0,2,0,55
Galar Usada,320042630910821000,Jambi,01/06/1971,Petani,Rp 1.000.000,8,0,2,2,2,2,1000000,54
Kemal Tarioran,320088078821801000,Palembang,15/08/1989,Petani,Rp 1.500.000,2,0,0,0,1,0,1500000,35
Micelle Utapea,320031997382554000,Samarinda,09/12/1974,Karyawan,Rp 2.000.000,6,1,2,1,1,1,2000000,50
Bala Firmansya,320051018757635000,Malang,09/08/1963,Petani,Rp 500.000,5,0,2,0,2,1,500000,61
Kacung Irawan,320011698665840000,Jambi,22/02/1990,Karyawan,Rp 1.000.000,5,0,1,2,1,1,1000000,35
Usyi Assana,320032946330301000,Makassar,19/06/1998,Petani,Rp 2.000.000,4,1,2,1,0,0,2000000,27
Yuliana Nainggolan,320002838853192000,Palu,17/11/1984,Tidak Bekerja,Rp 0,4,0,1,1,2,0,0,40
Maimuna Sitompul,320061284928640000,Pekanbaru,17/04/1979,Buruh,Rp 1.500.000,8,1,2,2,1,2,1500000,46
Balijan Samosir,320007070511720000,Pontianak,16/09/1970,Karyawan,Rp 500.000,6,1,2,1,1,0,500000,54
Aisya Irawan,320059065008851000,Depok,23/07/1983,Wiraswasta,Rp 1.000.000,2,0,1,0,0,1,1000000,41
Anom Uwais,320002424763447000,Makassar,05/12/1991,Karyawan,Rp 500.000,6,0,2,1,1,1,500000,33
Jane Ardianto,320008871869986000,Padang,21/03/1990,Karyawan,Rp 1.000.000,6,0,3,2,0,0,1000000,35
Galar Mansur,320047297062551000,Pekanbaru,21/02/1979,Buruh,Rp 1.500.000,4,0,1,0,1,1,1500000,46
Puput Rajasa,320017347291868000,Malang,28/04/1998,Wiraswasta,Rp 1.000.000,5,0,0,2,0,2,1000000,27
Ana Laksmiwati,320003220422950000,Pontianak,05/06/1970,Petani,Rp 2.000.000,6,1,1,0,2,1,2000000,55
Garda Simbolon,320048327700913000,Palu,02/04/1981,Buruh,Rp 1.000.000,4,0,2,2,0,0,1000000,44
Zulaika Aryanto.,320058763755143000,Bogor,03/06/1973,Petani,Rp 1.000.000,5,0,0,2,0,2,1000000,52
Luwar Yolanda.,320053944378245000,Lampung,16/06/1991,Karyawan,Rp 2.000.000,4,1,2,0,0,1,2000000,34
Puti Gasti Sitorus,320079280517861000,Merauke,29/04/1982,Karyawan,Rp 1.500.000,5,1,0,1,2,0,1500000,43
Baktiono Tamrin,320000670491787000,Jayapura,12/09/1969,Karyawan,Rp 2.000.000,6,1,3,0,0,1,2000000,55
Kambali Mayasari,320023710455523000,Bekasi,11/08/1970,Karyawan,Rp 1.500.000,7,1,2,2,1,1,1500000,54
Danu Winarno,320077391836804000,Bekasi,13/07/1979,Petani,Rp 2.000.000,4,1,0,0,2,1,2000000,45
Tina Siombing,320091920248456000,Manado,17/11/1981,Tidak Bekerja,Rp 0,4,0,1,2,1,0,0,43
Asirwada Kuswoyo,320085345134890000,Padang,16/10/1975,Tidak Bekerja,Rp 0,7,0,3,0,2,2,0,49
Racel Setiawan,320082651220602000,Banjarmasin,23/01/1975,Petani,Rp 1.500.000,8,0,3,2,1,2,1500000,50
Nurul Wibowo,320056190713256000,Semarang,15/08/1965,Tidak Bekerja,Rp 0,6,1,3,0,1,1,0,59
Nadine Idayanto,320028951312724000,Manado,22/01/1988,Tidak Bekerja,Rp 0,7,1,3,2,1,0,0,37
Tami Marpaung,320042621147706000,Malang,29/11/1991,Buruh,Rp 1.000.000,5,0,2,2,0,1,1000000,33
Betania Widiastuti,320042779691793000,Banjarmasin,13/01/1992,Wiraswasta,Rp 1.500.000,5,0,0,2,0,2,1500000,33
Sutan Danuja Nasiruddin,320027861028094000,Medan,27/04/1976,Tidak Bekerja,Rp 0,7,0,3,1,1,2,0,49
Empluk Gunarto,320011926910473000,Palu,02/07/1990,Tidak Bekerja,Rp 0,4,1,2,0,1,0,0,35
Tasdik Narpati,320048915285009000,Kendari,23/02/1979,Wiraswasta,Rp 1.500.000,3,0,0,1,1,1,1500000,46
Vino Sitorus,320041933089271000,Malang,09/01/1987,Karyawan,Rp 1.000.000,7,1,2,0,2,1,1000000,38
Jabal Marbun,320001703724612000,Manokwari,22/06/1997,Petani,Rp 1.500.000,5,1,0,2,1,0,1500000,28
Jelita Mandasari,320053280403539000,Malang,15/06/1974,Karyawan,Rp 2.000.000,2,1,1,0,0,0,2000000,51
Rati Tamrin,320025438098722000,Balikpapan,27/11/1955,Buruh,Rp 1.500.000,6,1,2,0,1,2,1500000,69
Siska Winarsi,320015214708127000,Jayapura,16/11/1982,Wiraswasta,Rp 2.000.000,4,0,0,2,1,1,2000000,42
Nova Kusumo.,320054977459400000,Balikpapan,24/07/1981,Petani,Rp 1.000.000,7,0,2,2,0,2,1000000,43
Kajen Widodo,320067047272052000,Medan,03/09/1974,Karyawan,Rp 500.000,4,1,0,1,1,0,500000,50
Teddy Firgantoro,320017454193329000,Jambi,26/02/1983,Tidak Bekerja,Rp 0,5,0,0,2,1,2,0,42
