NIK,Nama_KK,Domisili,Tanggal_Lahir,Pekerjaan,Umur
320049615997543000,Ana Wijaya,Gorontalo,14/06/1979,Karyawan,46
320055493809217000,Aisya Widiastuti,Malang,08/08/1967,Tidak Bekerja,57
320065660405344000,Rwani Dabukke.,Balikpapan,05/10/1995,Petani,29
320025395899437000,Warta Sirait,Banjarmasin,05/05/1997,Karyawan,28
320054432077941000,Nadine Agustina,Semarang,07/07/1995,Wiraswasta,29
320099790408632000,Ani Aryanti,Palembang,17/07/1965,Tidak Bekerja,59
320006745305159000,Timbul Lailasari,Pontianak,16/09/1998,Tidak Bekerja,26
320087789454308000,Tgkbalapati Zulaika,Palu,12/01/1994,Tidak Bekerja,31
320001941615529000,Fitria Suwarno,Bandung,18/07/1994,Buruh,30
320022099756722000,Kamila Prasetya,Depok,10/11/1975,Petani,49
320086794541978000,Rangga Saefulla,Pontianak,19/10/1990,Buruh,34
320029523417350000,Rlatika Widiastuti,Semarang,28/04/1957,Buruh,68
320090131222138000,Sabri Ramawati,Manokwari,15/02/1993,Buruh,32
320045178801629000,Tgkwisnu Pudjiastuti.,Gorontalo,24/04/1978,Wiraswasta,47
320054244519285000,Lanang Kusumo,Balikpapan,23/05/1961,Petani,64
320028864619255000,Zamira Rajata,Banjarmasin,06/12/1965,Tidak Bekerja,59
320058935744799000,Vino Pangestu,Pekanbaru,01/03/1991,Tidak Bekerja,34
320026658648285000,Martani Farida,Bengkulu,27/03/1962,Tidak Bekerja,63
320044153485704000,Rudi Laksita,Makassar,23/04/1989,Wiraswasta,36
320041407404848000,Vicky Simanjuntak,Sorong,06/05/1961,Buruh,64
320019868494507000,Mala Zulaika,Malang,02/05/1965,Petani,60
320075479734574000,Oliva Anggriawan,Depok,09/08/1960,Wiraswasta,64
320078930615272000,Bagiya Novitasari,Pontianak,30/07/1975,Tidak Bekerja,49
320042576891809000,Julia Manullang,Medan,28/06/1975,Tidak Bekerja,50
320039233492183000,Samia Sinaga.,Bekasi,19/12/1991,Tidak Bekerja,33
320073103025530000,Banara Kurniawan,Bengkulu,14/04/1993,Buruh,32
320091242876782000,Gilda Prastuti,Balikpapan,14/12/1987,Buruh,37
320033176011845000,Nadia Alima,Padang,13/10/1963,Wiraswasta,61
320079064791514000,Legawa Nasyida,Kendari,12/10/1983,Karyawan,41
320098307948501000,Aditya Mustofa,Depok,19/12/1974,Karyawan,50
320083365575031000,Ikin Saptono,Pekanbaru,26/07/1974,Karyawan,50
320045584128988000,Gading Fujiati,Jambi,18/05/1994,Buruh,31
320076104779405000,Ayu Prasetyo,Malang,22/09/1965,Tidak Bekerja,59
320014706389760000,Zara Akim,Samarinda,12/02/1964,Karyawan,61
320060859991178000,Laras Akim,Padang,06/06/1998,Tidak Bekerja,27
320032382067648000,Arsanto Situmorang,Sorong,03/11/1994,Petani,30
320016870517187000,Puti Elisa Narpati,Samarinda,22/04/1995,Petani,30
320044896163013000,Sakura Yuliarti,Bengkulu,13/04/1970,Tidak Bekerja,55
320033512659439000,Galu Agustina,Manado,24/03/1961,Karyawan,64
320010455561674000,Zulfa Assana,Medan,08/10/1994,Wiraswasta,30
320018215799380000,Paiman Wibisono,Manado,08/02/1968,Wiraswasta,57
320006677789361000,Wira Prakasa,Merauke,09/10/1991,Buruh,33
320054087834713000,Ratna Farida,Gorontalo,13/04/1987,Karyawan,38
320074509610763000,Cakrawala Winarno,Pontianak,04/05/1959,Buruh,66
320004561269204000,Wisnu Samosir,Semarang,12/02/1965,Karyawan,60
320083583792952000,Lalita Irawan,Samarinda,25/07/1967,Buruh,57
320013415911875000,Olivia Marbun,Medan,06/12/1990,Tidak Bekerja,34
320079338007984000,Lamar Dongoran,Bogor,30/11/1958,Petani,66
320033618857197000,Amelia Andriani,Palangka Raya,13/09/1964,Wiraswasta,60
320051056018390000,Mulya Agustina,Merauke,16/03/1978,Buruh,47
320094937434646000,Puti Sadina Budiyanto,Padang,23/05/1976,Buruh,49
320044176569017000,Tina Firmansya,Semarang,18/06/1957,Petani,68
320000313001879000,Cut Amalia Pangestu,Sorong,12/04/2000,Wiraswasta,25
320035077947601000,Cut Kamila Sitorus,Manokwari,25/03/1965,Buruh,60
320044291975929000,Padmi Purnawati,Semarang,10/11/1963,Tidak Bekerja,61
320024104672139000,Puti Ella Pratiwi,Palangka Raya,30/05/1960,Karyawan,65
320059482067099000,Yance Zulaika,Jayapura,05/06/1984,Tidak Bekerja,41
320038150946212000,Elu Lestari,Yogyakarta,13/09/1978,Karyawan,46
320075658086064000,Tgkprasetya Prabowo,Banjarmasin,11/04/1992,Buruh,33
320018517018389000,Kardi Prasasta,Padang,07/01/1976,Wiraswasta,49
320006520662995000,Jasmani Sitompul,Gorontalo,17/11/1974,Tidak Bekerja,50
320007577408220000,Marwata Waluyo,Manokwari,16/12/1969,Petani,55
320016713539865000,Sadina Siregar,Bogor,17/09/1959,Petani,65
320000066644558000,Wakiman Utagalung,Samarinda,16/03/1968,Karyawan,57
320053230120765000,Artawan Tarioran,Pekanbaru,19/04/1968,Petani,57
320000309718969000,Azalea Yolanda,Gorontalo,22/03/1961,Buruh,64
320068568277692000,Esti Simbolon,Bekasi,19/12/1983,Karyawan,41
320028548735068000,Setya Idayanto,Malang,04/04/1991,Petani,34
320003054416112000,Titi Kurniawan,Semarang,02/02/1967,Karyawan,58
320028478046773000,Maya Budiyanto,Palembang,29/04/1983,Petani,42
320076673045935000,Jane Jailani,Bekasi,25/07/1962,Karyawan,62
320089510112061000,Endra Mansur,Balikpapan,05/05/1964,Tidak Bekerja,61
320057799679323000,Mana Siregar,Palangka Raya,04/05/1972,Wiraswasta,53
320075676990496000,Rcaraka Tamrin,Surabaya,11/09/1999,Karyawan,25
320050289522648000,Purwanto Waskita,Surabaya,10/10/1998,Tidak Bekerja,26
320067539770761000,Agus Siregar,Kendari,27/07/1974,Wiraswasta,50
320009448235027000,Almira Artati,Yogyakarta,09/09/1966,Petani,58
320065742551108000,Nilam Suartini,Makassar,13/08/1965,Petani,59
320062138243589000,Marsudi Kuswandari,Bekasi,19/01/1989,Tidak Bekerja,36
320073335881469000,Luwar Gunarto,Pontianak,15/10/1987,Petani,37
320032709212338000,Maria Nasyida,Yogyakarta,14/02/2000,Petani,25
320059532754062000,Gasti Prakasa,Manokwari,18/03/1984,Tidak Bekerja,41
320006505378419000,Krosman Wijaya,Manado,23/08/1987,Karyawan,37
320092754345201000,Okto Uyaina,Pontianak,20/04/1988,Wiraswasta,37
320048230247746000,Jabal Manullang,Semarang,29/03/1971,Petani,54
320045261647542000,Talia Maulana,Bekasi,14/01/1957,Karyawan,68
320037455675347000,Bagas Usada,Pontianak,28/04/1966,Tidak Bekerja,59
320021566606827000,Eka Prakasa,Makassar,28/12/1981,Wiraswasta,43
320015875062466000,Garda Prasetyo,Palangka Raya,25/02/1978,Tidak Bekerja,47
320030827642432000,Qori Sirait,Banjarmasin,27/04/1977,Petani,48
320010151752212000,Tirta Prasetyo,Semarang,25/08/1977,Karyawan,47
320086186606389000,Wawan Budiman,Kendari,19/03/1986,Karyawan,39
320036183360206000,Ajiono Namaga,Padang,06/11/1997,Petani,27
320054576645562000,Aisya Marpaung,Merauke,03/11/1974,Buruh,50
320038883022616000,Zelda Nuraini,Bekasi,05/07/2025,Petani,0
320094515279408000,Damu Ramawati,Bogor,26/03/1957,Buruh,68
320044863685758000,Azalea Winarno,Semarang,07/12/1957,Petani,67
320017436349933000,Puji Namaga,Pekanbaru,17/04/1995,Wiraswasta,30
320017417376093000,Purwa Waskita,Balikpapan,09/10/1987,Buruh,37
320046132065600000,Titi Mardiya,Palangka Raya,14/08/1974,Petani,50
320008051919634000,Jarwadi Usama,Bandung,08/10/1971,Petani,53
320009109413572000,Ica Iswayudi,Medan,19/02/1970,Buruh,55
320048296222397000,Victoria Winarsi,Palembang,21/08/1985,Wiraswasta,39
320070766201849000,Jaiman Kuswandari,Jambi,13/02/1966,Petani,59
320053396840760000,Tania Puspita,Merauke,30/03/1973,Tidak Bekerja,52
320047231730906000,Wisnu Firmansya,Lampung,13/10/1984,Karyawan,40
320002368027411000,Kcemani Nasiruddin,Sorong,26/06/2025,Petani,0
320096456634396000,Zalindra Kuswoyo,Yogyakarta,29/11/1982,Karyawan,42
320054487131715000,Airyanto Siregar,Semarang,01/01/1977,Karyawan,48
320054694985599000,Dimaz Narpati,Bengkulu,01/04/1999,Petani,26
320044883152054000,Najwa Saefulla,Malang,02/03/1955,Petani,70
320009148957972000,Alika Marpaung,Samarinda,04/11/1958,Wiraswasta,66
320047012816300000,Jarwa Aryanto,Bekasi,08/02/1963,Karyawan,62
320027772750503000,Rkariman Alima,Kendari,02/07/1993,Tidak Bekerja,32
320028498718726000,Treksa Wulandari,Semarang,13/07/1973,Tidak Bekerja,51
320018657141715000,Umi Suryono,Pontianak,01/05/1972,Petani,53
320091761565619000,Talia Tamba,Jayapura,08/11/1966,Karyawan,58
320096271408769000,Enteng Saragi,Manado,16/12/1986,Buruh,38
320088084236969000,Janet Lailasari,Pekanbaru,14/07/1978,Wiraswasta,46
320008285141317000,Sutan Bakiono Dongoran,Makassar,23/01/1959,Karyawan,66
320049314425651000,Tantri Saefulla,Pontianak,10/11/1987,Karyawan,37
320088830918559000,Setya Kuswandari,Lampung,02/04/1995,Karyawan,30
320082661386687000,Karma Padmasari,Medan,18/05/1960,Wiraswasta,65
320028249102693000,Lukita Situmorang,Palangka Raya,30/03/1995,Petani,30
320049641042920000,Edi Wacana,Medan,04/06/1979,Tidak Bekerja,46
320029698651979000,Silvia Megantara,Palembang,05/08/1978,Petani,46
320017560417824000,Maimuna Wulandari,Padang,30/08/1995,Tidak Bekerja,29
320083144204525000,Banawi Maulana,Manokwari,12/06/1978,Buruh,47
320096969810659000,Cager Winarno,Depok,09/06/1987,Wiraswasta,38
320047646990364000,Opung Andriani,Semarang,03/01/1993,Petani,32
320022935900185000,Gaiman Oktaviani,Lampung,15/11/1991,Karyawan,33
320040168378508000,Unjani Gunawan,Gorontalo,23/03/1980,Buruh,44
320003403059940000,Kempluk Siombing,Bengkulu,11/09/1959,Karyawan,65
320048219429500000,Martana Dabukke,Merauke,26/09/1977,Buruh,47
320059631632949000,Daru Nasiruddin,Bengkulu,12/03/1963,Buruh,62
320007663691144000,Wira Nugroo,Semarang,24/01/1980,Karyawan,45
320068263778211000,Gabriella Astuti,Yogyakarta,17/03/1977,Tidak Bekerja,48
320019652706863000,Gali Megantara,Merauke,27/12/1980,Buruh,44
320009630333109000,Janet Zulkarnain,Bengkulu,30/12/1980,Petani,44
320055470570524000,Jarwi Wastuti,Bekasi,24/06/1959,Wiraswasta,66
320018936026238000,Genta Aryani,Palangka Raya,06/07/1990,Wiraswasta,34
320092465372946000,Puti Tina Puspita,Pekanbaru,19/04/1964,Karyawan,61
320000790708680000,Restu Nuraini,Palangka raya,27/07/1996,Karyawan,28
320055510272176000,Cayadi Winarsi,Balikpapan,09/03/1969,Karyawan,56
320057008174562000,Lukman Permata,Merauke,03/09/2000,Petani,24
320089927206257000,Zulfa Firmansya,Malang,07/06/1980,Wiraswasta,45
320087186914157000,Lidya Maryadi,Sorong,06/07/1970,Buruh,54
320093109886507000,Dariati Maendra,Samarinda,06/12/1987,Karyawan,37
320022109544371000,Ilda Waluyo,Lampung,19/05/1984,Wiraswasta,41
320022570008952000,Silvia Nainggolan,Semarang,11/02/1989,Tidak Bekerja,36
320019612533701000,Jelita Utapea,Pekanbaru,21/01/1999,Petani,26
320084667446156000,Belinda Wibisono.,Gorontalo,10/10/1971,Karyawan,53
320072219656443000,Bagus Wibisono,Palu,18/03/1970,Tidak Bekerja,55
320042630910821000,Galar Usada,Jambi,01/06/1971,Petani,54
320088078821801000,Kemal Tarioran,Palembang,15/08/1989,Petani,35
320031997382554000,Micelle Utapea,Samarinda,09/12/1974,Karyawan,50
320051018757635000,Bala Firmansya,Malang,09/08/1963,Petani,61
320011698665840000,Kacung Irawan,Jambi,22/02/1990,Karyawan,35
320032946330301000,Usyi Assana,Makassar,19/06/1998,Petani,27
320002838853192000,Yuliana Nainggolan,Palu,17/11/1984,Tidak Bekerja,40
320061284928640000,Maimuna Sitompul,Pekanbaru,17/04/1979,Buruh,46
320007070511720000,Balijan Samosir,Pontianak,16/09/1970,Karyawan,54
320059065008851000,Aisya Irawan,Depok,23/07/1983,Wiraswasta,41
320002424763447000,Anom Uwais,Makassar,05/12/1991,Karyawan,33
320008871869986000,Jane Ardianto,Padang,21/03/1990,Karyawan,35
320047297062551000,Galar Mansur,Pekanbaru,21/02/1979,Buruh,46
320017347291868000,Puput Rajasa,Malang,28/04/1998,Wiraswasta,27
320003220422950000,Ana Laksmiwati,Pontianak,05/06/1970,Petani,55
320048327700913000,Garda Simbolon,Palu,02/04/1981,Buruh,44
320058763755143000,Zulaika Aryanto.,Bogor,03/06/1973,Petani,52
320053944378245000,Luwar Yolanda.,Lampung,16/06/1991,Karyawan,34
320079280517861000,Puti Gasti Sitorus,Merauke,29/04/1982,Karyawan,43
320000670491787000,Baktiono Tamrin,Jayapura,12/09/1969,Karyawan,55
320023710455523000,Kambali Mayasari,Bekasi,11/08/1970,Karyawan,54
320077391836804000,Danu Winarno,Bekasi,13/07/1979,Petani,45
320091920248456000,Tina Siombing,Manado,17/11/1981,Tidak Bekerja,43
320085345134890000,Asirwada Kuswoyo,Padang,16/10/1975,Tidak Bekerja,49
320082651220602000,Racel Setiawan,Banjarmasin,23/01/1975,Petani,50
320056190713256000,Nurul Wibowo,Semarang,15/08/1965,Tidak Bekerja,59
320028951312724000,Nadine Idayanto,Manado,22/01/1988,Tidak Bekerja,37
320042621147706000,Tami Marpaung,Malang,29/11/1991,Buruh,33
320042779691793000,Betania Widiastuti,Banjarmasin,13/01/1992,Wiraswasta,33
320027861028094000,Sutan Danuja Nasiruddin,Medan,27/04/1976,Tidak Bekerja,49
320011926910473000,Empluk Gunarto,Palu,02/07/1990,Tidak Bekerja,35
320048915285009000,Tasdik Narpati,Kendari,23/02/1979,Wiraswasta,46
320041933089271000,Vino Sitorus,Malang,09/01/1987,Karyawan,38
320001703724612000,Jabal Marbun,Manokwari,22/06/1997,Petani,28
320053280403539000,Jelita Mandasari,Malang,15/06/1974,Karyawan,51
320025438098722000,Rati Tamrin,Balikpapan,27/11/1955,Buruh,69
320015214708127000,Siska Winarsi,Jayapura,16/11/1982,Wiraswasta,42
320054977459400000,Nova Kusumo.,Balikpapan,24/07/1981,Petani,43
320067047272052000,Kajen Widodo,Medan,03/09/1974,Karyawan,50
320017454193329000,Teddy Firgantoro,Jambi,26/02/1983,Tidak Bekerja,42
320070358013272000,Galar Puspasari,Bengkulu,16/12/1997,Wiraswasta,27
320036131171910000,Rmila Budiman,Bandung,17/02/1977,Wiraswasta,48
320038104559598000,Intan Simanjuntak,Padang,29/11/1995,Karyawan,29
320097102985501000,Agnes Yuniar,Pontianak,18/07/1984,Tidak Bekerja,40
320063098633819000,Vera Marpaung,Bogor,02/03/1987,Wiraswasta,38
320026082571625000,Zalindra Laksmiwati,Samarinda,25/03/1970,Buruh,55
320073976245891000,Janet Salaudin,Lampung,22/07/1956,Wiraswasta,68
320069482551820000,Limar Sinaga,Jambi,16/01/1963,Karyawan,62
320037950626292000,Irfan Sudiati,Palembang,19/09/1978,Wiraswasta,46
320047865644556000,Bakiman Idayat,Pekanbaru,10/08/1988,Petani,36
320089746017145000,Nilam Ardiansya,Malang,07/08/1980,Buruh,44
320015005478644000,Lalita Firmansya,Manokwari,27/06/1974,Buruh,51
320005204195151000,Marwata Narpati,Pekanbaru,20/06/1955,Karyawan,70
320032212447260000,Taufan Wacana,Malang,10/10/1972,Petani,52
320033618992366000,Tina Melani,Surabaya,18/12/1984,Petani,40
320026061451687000,Zizi Anggraini,Banjarmasin,08/08/1998,Buruh,26
320018674081859000,Jono Nasyia,Gorontalo,13/01/1965,Buruh,60
320018015085831000,Gani Kusumo,Bogor,25/06/1986,Karyawan,39
320085198176006000,Dia Natsir,Gorontalo,19/12/1975,Tidak Bekerja,49
320046961586697000,Klukman Siotang,Jambi,19/04/1963,Wiraswasta,62
320076697842774000,Ida Firgantoro,Palu,26/01/1978,Karyawan,47
320085557367285000,Jasmin Gunawan,Surabaya,14/06/1992,Karyawan,33
320001590280479000,Jarwi Permadi,Surabaya,04/01/1961,Petani,64
320056445144421000,Elvina Nurdiyanti,Medan,01/07/1964,Petani,61
320052065074672000,Gabriella Marpaung,Balikpapan,28/04/1955,Buruh,70
320007491610661000,Tgkirsad Mansur,Palembang,30/05/1956,Tidak Bekerja,69
320047399860691000,Puput Nasiruddin,Bogor,04/08/1961,Buruh,63
320073772097214000,Karima Tamrin,Kendari,12/05/1986,Buruh,39
320065018859733000,Padmi Santoso,Bogor,05/06/1992,Tidak Bekerja,33
320026019567702000,Fara Ardiansya,Pontianak,07/08/1963,Buruh,61
320068276368964000,Lalita Wayudin,Jambi,08/04/1987,Karyawan,38
320010747793356000,Karima Budiman,Balikpapan,07/07/1972,Wiraswasta,52
320071384585105000,Luung Andriani,Banjarmasin,06/06/1984,Wiraswasta,41
320098789827837000,Yoga Kusumo,Pekanbaru,13/08/1957,Tidak Bekerja,67
320057532489833000,Paris Artati,Kendari,09/10/1963,Wiraswasta,61
320058269193425000,Kamila Sudiati,Manokwari,08/08/1977,Buruh,47
320047016799814000,Janet Safitri,Gorontalo,19/02/1995,Karyawan,30
320077303751288000,Tgkpurwanto Siombing,Semarang,17/12/1974,Petani,50
320041790272481000,Capa Abibi,Gorontalo,13/09/1985,Wiraswasta,39
320026292311532000,Sara Maulana,Palu,16/02/1986,Buruh,39
320089512914542000,Puti Mala Suwarno,Jambi,22/01/1974,Karyawan,51
320006488436291000,Jamalia Mandasari,Medan,24/12/1984,Petani,40
320098227040594000,Ari Raayu,Jambi,25/03/1989,Wiraswasta,36
320052052720780000,Nilam Pradipta,Bogor,12/11/1959,Tidak Bekerja,65
320086312170141000,Aswani Prastuti,Palangka Raya,17/04/1979,Tidak Bekerja,46
320067022293209000,Aslijan Waluyo.,Manokwari,10/06/1968,Karyawan,57
320047821617434000,Elma Nainggolan,Semarang,03/02/1967,Karyawan,58
320025703355735000,Bajragin Tamba,Yogyakarta,05/05/1967,Petani,58
320039489174458000,Jamil Rajata,Manado,13/06/1963,Petani,62
320074143139011000,Putri Wastuti,Gorontalo,29/06/1979,Petani,46
320073987068397000,Tgkpia Kuswoyo,Bogor,11/09/1991,Buruh,33
320003815077097000,Yoga Maeswara,Lampung,07/03/1960,Tidak Bekerja,65
320009712581131000,Cut Ica Irawan,Yogyakarta,10/12/1963,Tidak Bekerja,61
320020292586470000,Talia Winarsi,Yogyakarta,25/06/1962,Petani,63
320056915826046000,Cakrajiya Nasiruddin,Malang,05/10/1980,Petani,44
320010723329491000,Rafi Januar,Merauke,19/01/1993,Petani,32
320073972455378000,Jarwi Saputra,Bogor,27/09/1978,Buruh,46
320073724872764000,Bakidin Nugroo,Malang,11/02/1999,Tidak Bekerja,26
320021042945101000,Jaswadi Siregar,Gorontalo,04/10/1977,Petani,47
320052317926102000,Jayadi Laksita,Pontianak,13/03/1996,Tidak Bekerja,29
320089936119834000,Uli Yulianti,Bengkulu,29/04/1966,Buruh,59
320034143186495000,Kalim Najmudin,Jayapura,23/03/1959,Wiraswasta,66
320009899715395000,Tgkgina Anggriawan,Gorontalo,23/05/1985,Petani,40
320041302623817000,Samia Raayu,Bandung,14/04/1999,Tidak Bekerja,26
320006737971951000,Gadu Yuliarti,Samarinda,17/04/1986,Karyawan,39
320005324322005000,Zamira Marbun,Manokwari,13/12/1966,Tidak Bekerja,58
320016836317245000,Sutan Gamanto Suartini,Jambi,11/06/1969,Karyawan,56
320036587593986000,Madinata Susanti,Palembang,08/10/1996,Wiraswasta,28
320094413246557000,Cici Zulkarnain,Balikpapan,20/08/1971,Petani,53
320097367174081000,Eko Siotang,Semarang,14/09/1996,Tidak Bekerja,28
320047285414594000,Tami Tamba,Kendari,11/02/1970,Tidak Bekerja,55
320079167997856000,Ciaobella Mardiya,Palembang,14/03/1962,Buruh,63
320099451139783000,Vivi Siregar,Palu,08/11/1971,Petani,53
320064242256225000,Suci Mustofa,Bogor,15/04/1964,Buruh,61
320017806209677000,Gasti Kusmawati,Bandung,23/05/1972,Karyawan,53
320049154497313000,Kayun Situmorang,Pekanbaru,03/02/1962,Petani,63
320080203365735000,Dinda Salaudin,Jayapura,18/02/1993,Petani,32
320049501660732000,Karja Kuswoyo,Pekanbaru,07/04/1976,Buruh,49
320085051640622000,Tami Wibowo,Palembang,05/07/1969,Karyawan,56
320075771278198000,Rusman Putra,Bandung,02/09/1991,Karyawan,33
320075137391278000,Janet Uwais,Bandung,30/05/1999,Karyawan,26
320061313751321000,Kasirwanda Lestari,Yogyakarta,09/07/1970,Buruh,54
320049314732416000,Cakrawala Waskita,Samarinda,15/06/1984,Buruh,41
320069808312731000,Janet Aryanto,Jayapura,15/09/1993,Petani,31
320034505129760000,Tari Puspita,Banjarmasin,11/01/1994,Wiraswasta,31
320011903689477000,Nilam Damanik,Manado,18/08/1968,Buruh,56
320038151996945000,Ade Wacana,Medan,10/02/1974,Petani,51
320097385095785000,Ellis Manullang,Sorong,17/09/1980,Wiraswasta,44
320000742144477000,Safina Salaudin,Pekanbaru,27/03/1982,Wiraswasta,43
320023492662587000,Tami Suryono,Malang,12/11/1955,Wiraswasta,69
320050792397084000,Ardi Agustina,Kendari,18/03/1987,Karyawan,38
320081073029039000,Julia Lailasari,Lampung,30/05/1962,Tidak Bekerja,63
320040079097432000,Keisa Sinaga,Medan,04/01/1993,Wiraswasta,32
320029643684560000,Lanjar Andayani,Balikpapan,27/03/1972,Tidak Bekerja,53
320071485914213000,Puti Puspa Nasiruddin,Samarinda,03/04/1996,Karyawan,29
320025662061025000,Damar Marbun,Yogyakarta,25/04/1995,Petani,30
320010449019578000,Sutan Viktor Simanjuntak,Yogyakarta,09/07/1957,Tidak Bekerja,67
320029548426078000,Tgkcinta Anggriawan,Pontianak,05/04/1957,Petani,68
320028422513659000,Fara Siombing,Pekanbaru,08/08/1956,Karyawan,68
320008981648392000,Ratna Widodo,Kendari,30/06/1964,Tidak Bekerja,61
320084288356733000,Mujur Astuti,Balikpapan,24/06/2000,Wiraswasta,25
320026737271174000,Melinda Siombing,Bengkulu,17/12/1975,Wiraswasta,49
320092745330928000,Qori Gunarto,Jayapura,13/02/1994,Tidak Bekerja,31
320084054616430000,Paiman Anggriawan,Lampung,08/11/1999,Petani,25
320034903101227000,Eka Sitorus,Padang,12/07/1973,Wiraswasta,51
320071061269023000,Yusuf Simanjuntak,Jayapura,11/09/1973,Tidak Bekerja,51
320029437733187000,Rrini Mayasari,Makassar,17/12/1962,Petani,62
320059055169685000,Kasim Widodo,Manado,23/07/1967,Karyawan,57
320093795398310000,Cut Gina Putra,Manokwari,16/04/1968,Karyawan,57
320080929455756000,Sabrina Adriansya,Pekanbaru,30/09/1991,Tidak Bekerja,33
320092777206498000,Kprayoga Tampubolon,Jayapura,11/02/1957,Tidak Bekerja,68
320016736632150000,Irfan Waskita,Bogor,04/05/2000,Karyawan,25
320038281231656000,Darmana Pangestu,Pekanbaru,01/10/1997,Wiraswasta,27
320006563833983000,Silvia Nurdiyanti,Yogyakarta,21/03/1956,Karyawan,69
320090594089543000,Puspa Siotang,Palembang,12/04/1963,Karyawan,62
320009142614080000,Ulya Winarno,Bandung,23/11/1982,Wiraswasta,42
320068801430657000,Mariadi Oktaviani,Samarinda,02/09/1973,Wiraswasta,51
320040617920222000,Arsanto Artati,Manado,06/01/1973,Wiraswasta,52
320072651023115000,Umar Megantara,Bandung,05/10/1996,Karyawan,28
320092009858704000,Alika Susanti,Lampung,12/04/1988,Karyawan,37
320098937701799000,Balidin Yolanda,Banjarmasin,06/04/1978,Tidak Bekerja,47
320026307319345000,Ayu Abibi,Gorontalo,10/02/1960,Wiraswasta,65
320068607340050000,Ida Usama,Medan,22/07/1955,Wiraswasta,69
320066817399783000,Puti Rati Ardianto,Kendari,05/12/1968,Buruh,56
320094183589450000,Dadap Fujiati,Medan,29/09/1999,Buruh,25
320051527504732000,Yance Aryanti,Manokwari,11/08/1958,Karyawan,66
320024529036247000,Eman Irawan,Pontianak,15/02/1960,Petani,65
320044198140495000,Najib Saragi,Padang,22/01/1992,Buruh,33
320088057220428000,Laswi Wasita,Palangka Raya,18/01/1957,Karyawan,68
320025256290361000,Karya Damanik,Malang,29/01/1975,Tidak Bekerja,50
320016605991285000,Lala Maryati,Pekanbaru,16/11/1955,Buruh,69
320030355829814000,Almira Usada,Samarinda,01/10/1967,Tidak Bekerja,57
320099866018964000,Kamidin Santoso,Jayapura,22/04/1955,Tidak Bekerja,70
320027393762364000,Diana Fujiati,Surabaya,07/05/1960,Karyawan,65
320023334057645000,Alim Wastuti,Jayapura,10/09/1995,Buruh,29
320022088612800000,Jagaraga Akim,Banjarmasin,09/04/1987,Tidak Bekerja,38
320082647212918000,Raayu Sudiati,Palu,06/12/1988,Tidak Bekerja,36
320079149785068000,Joko Utasoit.,Sorong,16/11/1955,Karyawan,69
320048378329216000,Sutan Mursinin Nasiruddin,Makassar,13/12/1956,Buruh,68
320065489093315000,Cayono Widiastuti,Semarang,16/08/1973,Wiraswasta,51
320027774846301000,Salima Abibi,Balikpapan,14/02/1976,Buruh,49
320098931434765000,Karta Laksmiwati,Makassar,18/01/1985,Wiraswasta,40
320077349993907000,Eka Utama,Jayapura,16/01/1962,Buruh,63
320012642532979000,Adika Prakasa,Lampung,17/11/1997,Petani,27
320035867762587000,Vivi Usada,Manado,02/03/1967,Tidak Bekerja,58
320098775891305000,Zizi Januar,Balikpapan,02/03/1987,Buruh,38
