Nama_KK,NIK,Domisili,Tanggal_Lahir,Pekerjaan,Pendapatan,Jumlah_Anggota_Keluarga,Jumlah_Ibu_Hamil,Jumlah_Balita,Jumlah_Lansia,Jumlah_Anak_Putus_Sekolah,Jumlah_Anggota_Disabilitas
Wisnu Samosir,320004561269204000,Semarang,12/02/1965,Karyawan,Rp1.000.000,7,0,3,2,0,1
Lalita Irawan,320083583792952000,Samarinda,25/07/1967,Buru,Rp1.500.000,6,0,0,2,1,2
Olivia Marbun,320013415911875000,Medan,06/12/1990,Tidak Bekerja,Rp0,5,1,0,1,2,1
Lamar Dongoran,320079338007984000,Bogor,30/11/1958,Petani,Rp2.000.000,6,1,3,0,0,1
Amelia Andriani,320033618857197000,Palangka Raya,13/09/1964,Wiraswasta,Rp1.000.000,6,1,2,0,0,2
Mulya Agustina,320051056018390000,Merauke,16/03/1978,Buru,Rp1.500.000,5,1,0,0,2,2
Puti Sadina Budiyanto,320094937434646000,Padang,23/05/1976,Buru,Rp1.000.000,5,1,1,1,2,0
Tina Firmansya,320044176569017000,Semarang,18/06/1957,Petani,Rp2.000.000,6,1,3,0,1,0
Cut Amalia Pangestu,320000313001879000,Sorong,12/04/2000,Wiraswasta,Rp1.200.000,6,1,2,1,0,2
Cut Kamila Sitorus,320035077947601000,Manokwari,25/03/1965,Buru,Rp1.000.000,7,0,2,2,2,0
Padmi Purnawati,320044291975929000,Semarang,10/11/1963,Tidak Bekerja,Rp0,5,1,1,0,2,0
Puti Ella Pratiwi,320024104672139000,Palangka Raya,30/05/1960,Karyawan,Rp1.200.000,4,1,0,1,1,1
Yance Zulaika,320059482067099000,Jayapura,05/06/1984,Tidak Bekerja,Rp0,2,0,1,0,0,1
Elu Lestari,320038150946212000,Yogyakarta,13/09/1978,Karyawan,Rp2.000.000,6,1,0,2,2,0
Tgk Prasetya Prabowo,320075658086064000,Banjarmasin,11/04/1992,Buru,Rp1.500.000,7,1,2,2,2,0
Kardi Prasasta,320018517018389000,Padang,07/01/1976,Wiraswasta,Rp1.500.000,10,1,3,2,1,2
Jasmani Sitompul,320006520662995000,Gorontalo,17/11/1974,Tidak Bekerja,Rp0,5,0,3,2,0,0
Marwata Waluyo,320007577408220000,Manokwari,16/12/1969,Petani,Rp500.000,4,0,2,1,0,0
Sadina Siregar,320016713539865000,Bogor,17/09/1959,Petani,Rp5.000.000,9,1,3,2,1,2
Wakiman Utagalung,320000066644558000,Samarinda,16/03/1968,Karyawan,Rp3.200.000,6,1,3,0,0,2
Artawan Tarioran,320053230120765000,Pekanbaru,19/04/1968,Petani,Rp1.200.000,7,1,2,2,2,0
Azalea Yolanda,320000309718969000,Gorontalo,22/03/1961,Buru,Rp2.600.000,4,1,0,0,0,2
Esti Simbolon,320068568277692000,Bekasi,19/12/1983,Karyawan,Rp1.000.000,4,1,1,0,0,1
Setya Idayanto,320028548735068000,Malang,04/04/1991,Petani,Rp1.000.000,7,1,3,1,0,1
Titi Kurniawan,320003054416112000,Semarang,02/02/1967,Karyawan,Rp1.000.000,4,0,1,1,0,1
Maya Budiyanto,320028478046773000,Palembang,29/04/1983,Petani,Rp500.000,7,1,2,1,2,0
Jane Jailani,320076673045935000,Bekasi,25/07/1962,Karyawan,Rp1.500.000,4,0,1,2,0,0
Endra Mansur,320089510112061000,Balikpapan,05/05/1964,Tidak Bekerja,Rp0,6,1,2,0,2,1
Mana Siregar,320057799679323000,Palangka Raya,04/05/1972,Wiraswasta,Rp2.000.000,5,1,1,2,0,1
Rcaraka Tamrin,320075676990496000,Surabaya,11/09/1999,Karyawan,Rp2.000.000,6,1,1,1,1,1
Purwanto Waskita,320050289522648000,Surabaya,10/10/1998,Tidak Bekerja,Rp0,5,1,0,1,2,1
Agus Siregar,320067539770761000,Kendari,27/07/1974,Wiraswasta,Rp1.500.000,4,0,2,0,0,2
Almira Artati,320009448235027000,Yogyakarta,09/09/1966,Petani,Rp1.000.000,6,1,2,1,0,2
Nilam Suartini,320065742551108000,Makassar,13/08/1965,Petani,Rp1.000.000,3,0,1,0,2,0
Marsudi Kuswandari,320062138243589000,Bekasi,19/01/1989,Tidak Bekerja,Rp0,8,0,2,2,2,2
Luwar Gunarto,320073335881469000,Pontianak,15/10/1987,Petani,Rp1.000.000,7,0,2,2,1,2
Maria Nasyida,320032709212338000,Yogyakarta,14/02/2000,Petani,Rp2.100.000,4,1,0,2,1,0
Gasti Prakasa,320059532754062000,Manokwari,18/03/1984,Tidak Bekerja,Rp0,5,0,2,2,0,1
Krosman Wijaya,320006505378419000,Manado,23/08/1987,Karyawan,Rp500.000,6,1,2,0,2,0
Okto Uyaina,320092754345201000,Pontianak,20/04/1988,Wiraswasta,Rp500.000,9,1,3,2,0,2
Jabal Manullang,320048230247746000,Semarang,29/03/1971,Petani,Rp500.000,8,1,2,2,2,0
Talia Maulana,320045261647542000,Bekasi,14/01/1957,Karyawan,Rp2.000.000,9,1,1,2,2,2
Bagas Usada,320037455675347000,Pontianak,28/04/1966,Tidak Bekerja,Rp0,4,1,1,2,0,0
Eka Prakasa,320021566606827000,Makassar,28/12/1981,Wiraswasta,Rp500.000,4,1,0,1,1,0
Garda Prasetyo,320015875062466000,Palangka Raya,25/02/1978,Tidak Bekerja,Rp0,5,1,2,0,0,2
Qori Sirait,320030827642432000,Banjarmasin,27/04/1977,Petani,Rp500.000,6,1,2,2,0,0
Tirta Prasetyo,320010151752212000,Semarang,25/08/1977,Karyawan,Rp1.500.000,4,0,2,1,0,1
Wawan Budiman,320086186606389000,Kendari,19/03/1986,Karyawan,Rp500.000,6,0,1,2,0,2
Ajiono Namaga,320036183360206000,Padang,06/11/1997,Petani,Rp500.000,7,1,1,2,1,1
Aisya Marpaung,320054576645562000,Merauke,03/11/1974,Buru,Rp500.000,5,0,1,2,2,0
Rati Saragi,320056828111469000,Malang,02/09/1956,Karyawan,Rp2.000.000,8,1,2,2,1,1
Zelda Nuraini,320038883022616000,Bekasi,05/07/2025,Petani,Rp500.000,6,0,3,2,0,1
Damu Ramawati,320094515279408000,Bogor,26/03/1957,Buru,Rp2.800.000,6,1,3,1,1,0
Azalea Winarno,320044863685758000,Semarang,07/12/1957,Petani,Rp1.500.000,7,1,1,1,2,1
Puji Namaga,320017436349933000,Pekanbaru,17/04/1995,Wiraswasta,Rp2.000.000,4,0,3,0,0,1
Purwa Waskita,320017417376093000,Balikpapan,09/10/1987,Buru,Rp500.000,2,1,0,0,0,0
Titi Mardiya,320046132065600000,Palangka Raya,14/08/1974,Petani,Rp2.000.000,7,1,3,2,0,1
Jarwadi Usama,320008051919634000,Bandung,08/10/1971,Petani,Rp1.500.000,5,1,0,2,1,1
Ica Iswayudi,320009109413572000,Medan,19/02/1970,Buru,Rp1.000.000,6,1,1,1,2,1
Victoria Winarsi,320048296222397000,Palembang,21/08/1985,Wiraswasta,Rp500.000,5,0,2,0,0,2
Jaiman Kuswandari,320070766201849000,Jambi,13/02/1966,Petani,Rp2.000.000,3,0,0,0,2,0
Tania Puspita,320053396840760000,Merauke,30/03/1973,Tidak Bekerja,Rp0,5,0,3,1,0,0
Wisnu Firmansya,320047231730906000,Lampung,13/10/1984,Karyawan,Rp1.200.000,8,0,3,2,1,1
Kcemani Nasiruddin,320002368027411000,Sorong,26/06/2025,Petani,Rp500.000,6,0,2,2,0,2
Zalindra Kuswoyo,320096456634396000,Yogyakarta,29/11/1982,Karyawan,Rp4.200.000,9,0,3,2,2,1
Airyanto Siregar,320054487131715000,Semarang,01/01/1977,Karyawan,Rp3.300.000,2,1,0,0,0,0
Dimaz Narpati,320054694985599000,Bengkulu,01/04/1999,Petani,Rp439.000,3,0,1,1,0,0
Najwa Saefulla,320044883152054000,Malang,02/03/1955,Petani,Rp1.500.000,5,1,0,0,2,1
Alika Marpaung,320009148957972000,Samarinda,04/11/1958,Wiraswasta,Rp500.000,6,0,3,0,0,2
Jarwa Aryanto,320047012816300000,Bekasi,08/02/1963,Karyawan,Rp1.000.000,5,0,3,0,0,2
Rkariman Alima,320027772750503000,Kendari,02/07/1993,Tidak Bekerja,Rp0,4,0,0,2,0,1
Treksa Wulandari,320028498718726000,Semarang,13/07/1973,Tidak Bekerja,Rp0,5,0,2,0,1,1
Umi Suryono,320018657141715000,Pontianak,01/05/1972,Petani,Rp1.500.000,4,0,1,1,1,1
Talia Tamba,320091761565619000,Jayapura,08/11/1966,Karyawan,Rp2.000.000,3,0,0,1,0,1
Enteng Saragi,320096271408769000,Manado,16/12/1986,Buru,Rp1.500.000,2,0,0,0,1,0
Janet Lailasari,320088084236969000,Pekanbaru,14/07/1978,Wiraswasta,Rp500.000,5,0,1,1,1,1
Sutan Bakiono Dongoran,320008285141317000,Makassar,23/01/1959,Karyawan,Rp1.500.000,7,0,2,2,2,1
Tantri Saefulla,320049314425651000,Pontianak,10/11/1987,Karyawan,Rp2.000.000,1,1,0,0,0,0
Setya Kuswandari,320088830918559000,Lampung,02/04/1995,Karyawan,Rp1.500.000,6,0,1,0,2,2
Karma Padmasari,320082661386687000,Medan,18/05/1960,Wiraswasta,Rp1.500.000,6,0,2,0,1,2
Lukita Situmorang,320028249102693000,Palangka Raya,30/03/1995,Petani,Rp500.000,3,0,0,2,0,0
Edi Wacana,320049641042920000,Medan,04/06/1979,Tidak Bekerja,Rp0,6,1,3,0,0,1
Silvia Megantara,320029698651979000,Palembang,05/08/1978,Petani,Rp2.000.000,6,1,1,0,2,1
Maimuna Wulandari,320017560417824000,Padang,30/08/1995,Tidak Bekerja,Rp0,3,1,0,0,1,0
Banawi Maulana,320083144204525000,Manokwari,12/06/1978,Buru,Rp2.000.000,4,1,2,0,0,1
Cager Winarno,320096969810659000,Depok,09/06/1987,Wiraswasta,Rp1.500.000,7,0,2,2,2,0
Opung Andriani,320047646990364000,Semarang,03/01/1993,Petani,Rp500.000,6,0,2,2,2,0
Gaiman Oktaviani,320022935900185000,Lampung,15/11/1991,Karyawan,Rp1.500.000,5,1,1,1,1,1
Unjani Gunawan,320040168378508000,Gorontalo,10/12/2025,Buru,Rp1.000.000,5,0,1,2,0,1
Kempluk Siombing,320003403059940000,Bengkulu,11/09/1959,Karyawan,Rp2.000.000,4,1,2,0,1,0
Martana Dabukke,320048219429500000,Merauke,26/09/1977,Buru,Rp1.000.000,5,1,0,2,2,0
Daru Nasiruddin,320059631632949000,Bengkulu,12/03/1963,Buru,Rp2.000.000,5,0,3,0,1,1
Wira Nugroo,320007663691144000,Semarang,24/01/1980,Karyawan,Rp500.000,7,0,2,2,2,0
Gabriella Astuti,320068263778211000,Yogyakarta,17/03/1977,Tidak Bekerja,Rp0,11,1,3,2,2,2
Gali Megantara,320019652706863000,Merauke,27/12/1980,Buru,Rp1.000.000,9,1,3,1,2,1
Janet Zulkarnain,320009630333109000,Bengkulu,30/12/1980,Petani,Rp1.500.000,8,1,0,2,2,2
Jarwi Wastuti,320055470570524000,Bekasi,24/06/1959,Wiraswasta,Rp1.500.000,2,0,0,0,2,0
Genta Aryani,320018936026238000,Palangka Raya,06/07/1990,Wiraswasta,Rp1.500.000,6,1,0,2,1,2
Puti Tina Puspita,320092465372946000,Pekanbaru,19/04/1964,Karyawan,Rp500.000,5,0,2,1,1,0
Restu Nuraini,320000790708680000,Palangka Raya,27/07/1996,Karyawan,Rp2.000.000,5,0,2,0,0,2
Cayadi Winarsi,320055510272176000,Balikpapan,09/03/1969,Karyawan,Rp500.000,8,0,2,2,1,2
Lukman Permata,320057008174562000,Merauke,03/09/2000,Petani,Rp1.200.000,6,0,3,1,0,1
Zulfa Firmansya,320089927206257000,Malang,07/06/1980,Wiraswasta,Rp1.500.000,6,1,0,1,2,2
Lidya Maryadi,320087186914157000,Sorong,06/07/1970,Buru,Rp1.000.000,7,0,3,2,1,1
Dariati Maendra,320093109886507000,Samarinda,06/12/1987,Karyawan,Rp1.500.000,5,0,3,0,0,2
Ilda Waluyo,320022109544371000,Lampung,19/05/1984,Wiraswasta,Rp2.000.000,3,0,2,0,0,0
Silvia Nainggolan,320022570008952000,Semarang,11/02/1989,Tidak Bekerja,Rp0,6,0,3,1,1,0
Jelita Utapea,320019612533701000,Pekanbaru,21/01/1999,Petani,Rp2.000.000,8,0,3,1,2,2
Belinda Wibisono,320084667446156000,Gorontalo,10/10/1971,Karyawan,Rp2.000.000,6,0,3,2,0,1
Bagus Wibisono,320072219656443000,Palu,18/03/1970,Tidak Bekerja,Rp0,6,1,0,2,0,2
Galar Usada,320042630910821000,Jambi,01/06/1971,Petani,Rp1.000.000,8,0,2,2,2,2
Kemal Tarioran,320088078821801000,Palembang,15/08/1989,Petani,Rp1.500.000,2,0,0,0,1,0
Micelle Utapea,320031997382554000,Samarinda,09/12/1974,Karyawan,Rp2.000.000,6,1,2,1,1,1
Bala Firmansya,320051018757635000,Malang,09/08/1963,Petani,Rp500.000,5,0,2,0,2,1
Kacung Irawan,320011698665840000,Jambi,22/02/1990,Karyawan,Rp1.000.000,5,0,1,2,1,1
Usyi Assana,320032946330301000,Makassar,19/06/1998,Petani,Rp2.000.000,4,1,2,1,0,0
Yuliana Nainggolan,320002838853192000,Palu,17/11/1984,Tidak Bekerja,Rp0,4,0,1,1,2,0
Maimuna Sitompul,320061284928640000,Pekanbaru,17/04/1979,Buru,Rp1.500.000,8,1,2,2,1,2
Balijan Samosir,320007070511720000,Pontianak,16/09/1970,Karyawan,Rp500.000,6,1,2,1,1,0
Aisya Irawan,320059065008851000,Depok,23/07/1983,Wiraswasta,Rp1.000.000,2,0,1,0,0,1
Anom Uwais,320002424763447000,Makassar,05/12/1991,Karyawan,Rp500.000,6,0,2,1,1,1
Jane Ardianto,320008871869986000,Padang,21/03/1990,Karyawan,Rp1.000.000,6,0,3,2,0,0
Galar Mansur,320047297062551000,Pekanbaru,21/02/1979,Buru,Rp1.500.000,4,0,1,0,1,1
Puput Rajasa,320017347291868000,Malang,28/04/1998,Wiraswasta,Rp1.000.000,5,0,0,2,0,2
Ana Laksmiwati,320003220422950000,Pontianak,05/06/1970,Petani,Rp2.000.000,6,1,1,0,2,1
Garda Simbolon,320048327700913000,Palu,02/04/1981,Buru,Rp1.000.000,4,0,2,2,0,0
Zulaika Aryanto,320058763755143000,Bogor,03/06/1973,Petani,Rp1.000.000,5,0,0,2,0,2
Luwar Yolanda,320053944378245000,Lampung,16/06/1991,Karyawan,Rp2.000.000,4,1,2,0,0,1
Puti Gasti Sitorus,320079280517861000,Merauke,29/04/1982,Karyawan,Rp1.500.000,5,1,0,1,2,0
Baktiono Tamrin,320000670491787000,Jayapura,12/09/1969,Karyawan,Rp2.000.000,6,1,3,0,0,1
Kambali Mayasari,320023710455523000,Bekasi,11/08/1970,Karyawan,Rp1.500.000,7,1,2,2,1,1
Danu Winarno,320077391836804000,Bekasi,13/07/1979,Petani,Rp2.000.000,4,1,0,0,2,1
Tina Siombing,320091920248456000,Manado,17/11/1981,Tidak Bekerja,Rp0,4,0,1,2,1,0
Asirwada Kuswoyo,320085345134890000,Padang,16/10/1975,Tidak Bekerja,Rp0,7,0,3,0,2,2
Racel Setiawan,320082651220602000,Banjarmasin,23/01/1975,Petani,Rp1.500.000,8,0,3,2,1,2
Nurul Wibowo,320056190713256000,Semarang,15/08/1965,Tidak Bekerja,Rp0,6,1,3,0,1,1
Nadine Idayanto,320028951312724000,Manado,22/01/1988,Tidak Bekerja,Rp0,7,1,3,2,1,0
Tami Marpaung,320042621147706000,Malang,29/11/1991,Buru,Rp1.000.000,5,0,2,2,0,1
Betania Widiastuti,320042779691793000,Banjarmasin,13/01/1992,Wiraswasta,Rp1.500.000,5,0,0,2,0,2
Sutan Danuja Nasiruddin,320027861028094000,Medan,27/04/1976,Tidak Bekerja,Rp0,7,0,3,1,1,2
Empluk Gunarto,320011926910473000,Palu,02/07/1990,Tidak Bekerja,Rp0,4,1,2,0,1,0
Tasdik Narpati,320048915285009000,Kendari,23/02/1979,Wiraswasta,Rp1.500.000,3,0,0,1,1,1
Vino Sitorus,320041933089271000,Malang,09/01/1987,Karyawan,Rp1.000.000,7,1,2,0,2,1
Jabal Marbun,320001703724612000,Manokwari,22/06/1997,Petani,Rp1.500.000,5,1,0,2,1,0
Jelita Mandasari,320053280403539000,Malang,15/06/1974,Karyawan,Rp2.000.000,2,1,1,0,0,0
Rati Tamrin,320025438098722000,Balikpapan,27/11/1955,Buru,Rp1.500.000,6,1,2,0,1,2
Siska Winarsi,320015214708127000,Jayapura,16/11/1982,Wiraswasta,Rp2.000.000,4,0,0,2,1,1
Nova Kusumo,320054977459400000,Balikpapan,24/07/1981,Petani,Rp1.000.000,7,0,2,2,0,2
Kajen Widodo,320067047272052000,Medan,03/09/1974,Karyawan,Rp500.000,4,1,0,1,1,0
Teddy Firgantoro,320017454193329000,Jambi,26/02/1983,Tidak Bekerja,Rp0,5,0,0,2,1,2
Galar Puspasari,320070358013272000,Bengkulu,16/12/1997,Wiraswasta,Rp2.000.000,6,0,3,1,0,2
Rmila Budiman,320036131171910000,Bandung,17/02/1977,Wiraswasta,Rp1.500.000,8,1,2,2,1,1
Intan Simanjuntak,320038104559598000,Padang,29/11/1995,Karyawan,Rp500.000,7,0,2,2,2,0
Agnes Yuniar,320097102985501000,Pontianak,18/07/1984,Tidak Bekerja,Rp0,5,1,0,2,2,0
Vera Marpaung,320063098633819000,Bogor,02/03/1987,Wiraswasta,Rp1.000.000,6,1,0,0,2,2
Zalindra Laksmiwati,320026082571625000,Samarinda,25/03/1970,Buruh,Rp1.000.000,3,0,0,0,1,1
Janet Salaudin,320073976245891000,Lampung,22/07/1956,Wiraswasta,Rp1.500.000,8,0,2,1,2,2
Limar Sinaga,320069482551820000,Jambi,16/01/1963,Karyawan,Rp2.000.000,5,1,1,1,1,0
Irfan Sudiati,320037950626292000,Palembang,19/09/1978,Wiraswasta,Rp2.000.000,9,1,3,2,0,2
Bakiman Idayat,320047865644556000,Pekanbaru,10/08/1988,Petani,Rp2.000.000,7,1,3,2,0,1
Nilam Ardiansya,320089746017145000,Malang,07/08/1980,Buru,Rp1.500.000,5,1,0,2,1,1
Lalita Firmansya,320015005478644000,Manokwari,27/06/1974,Buru,Rp2.000.000,9,0,2,2,2,2
Marwata Narpati,320005204195151000,Pekanbaru,20/06/1955,Karyawan,Rp500.000,3,1,0,0,1,1
Taufan Wacana,320032212447260000,Malang,10/10/1972,Petani,Rp1.000.000,5,0,2,1,0,1
Tina Melani,320033618992366000,Surabaya,18/12/1984,Petani,Rp2.000.000,5,1,3,0,0,1
Zizi Anggraini,320026061451687000,Banjarmasin,08/08/1998,Buru,Rp2.000.000,7,1,3,2,0,1
Jono Nasyia,320018674081859000,Gorontalo,13/01/1965,Buru,Rp1.000.000,5,1,3,0,0,1
Gani Kusumo,320018015085831000,Bogor,25/06/1986,Karyawan,Rp2.000.000,8,1,3,1,2,1
Dia Natsir,320085198176006000,Gorontalo,19/12/1975,Tidak Bekerja,Rp0,5,1,1,1,0,2
Klukman Siotang,320046961586697000,Jambi,19/04/1963,Wiraswasta,Rp500.000,6,1,1,2,2,0
Ida Firgantoro,320076697842774000,Palu,26/01/1978,Karyawan,Rp2.000.000,6,0,1,0,2,2
Jasmin Gunawan,320085557367285000,Surabaya,14/06/1992,Karyawan,Rp1.500.000,8,1,3,2,1,0
Jarwi Permadi,320001590280479000,Surabaya,04/01/1961,Petani,Rp1.500.000,8,1,2,1,2,1
Elvina Nurdiyanti,320056445144421000,Medan,01/07/1964,Petani,Rp2.000.000,7,0,3,0,1,2
Gabriella Marpaung,320052065074672000,Balikpapan,28/04/1955,Buru,Rp2.000.000,6,0,3,0,0,2
